"BR_1"	"BR_2"	"BR_3"	"BRC1_1"	"BRC1_2"	"BRC1_3"	"BRC17_1"	"BRC17_2"	"BRC17_3"	"BRC30_1"	"BRC30_2"	"BRC30_3"	"BRC5_1"	"BRC5_2"	"BRC5_3"	"PC1_1"	"PC1_2"	"PC1_3"	"PC17_1"	"PC17_2"	"PC17_3"	"PC30_1"	"PC30_2"	"PC30_3"	"PC5_1"	"PC5_2"	"PC5_3"	"PM_1"	"PM_2"	"PM_3"
"BR_1"	0	0.493150646498164	0.4971030063567	0.142653398147097	0.148857236734066	0.149565537733794	0.338007883762565	0.334965398732894	0.335238800149321	0.325428908581772	0.335438415029367	0.33813479570304	0.329513507065701	0.334178382751835	0.334897801749358	0.290792472487708	0.289659880867465	0.295400258763717	0.405530357444254	0.403913072793387	0.395121194275169	0.362567545452901	0.376126842616196	0.36978408862059	0.397414708758123	0.397885465281191	0.388791378573582	0.281615936941976	0.285837102525747	0.283291262155545
"BR_2"	0.493150646498164	0	0.010053049258337	0.389383041992845	0.392448183256355	0.365020347747355	0.445121570758726	0.430622214261424	0.431993072977116	0.438191372632302	0.434545568801646	0.440057631242404	0.416822296862914	0.421770503288097	0.420483039861604	0.168088895416306	0.153684459795146	0.164876387684186	0.381606876755828	0.377019685325786	0.373214592313803	0.346776941561264	0.358239098055767	0.353600321682488	0.386315942317248	0.386764158961343	0.37808698834805	0.29922624379392	0.299209726732611	0.292288453755157
"BR_3"	0.4971030063567	0.010053049258337	0	0.391969837073997	0.395042566702344	0.367390686127484	0.447531182589844	0.432948130307482	0.434326982372619	0.440601712949034	0.436898311945419	0.442437406746332	0.419068066498277	0.424035568019444	0.422736565076737	0.169282951257572	0.154767602012491	0.166036344155649	0.39036886512447	0.385770270964894	0.382067419573067	0.355933547269925	0.367280340920727	0.362701667240092	0.395286088001924	0.395731047942411	0.387137706502231	0.301660234871816	0.301635453723535	0.294628237149911
"BRC1_1"	0.142653398147097	0.389383041992845	0.391969837073997	0	0.0101010679316961	0.0206004379170809	0.239523872540483	0.240046338501311	0.242847668520171	0.220498762030865	0.234662753807564	0.239365407329538	0.253567013764138	0.25378126323297	0.254868774345834	0.22015389722038	0.228167104110211	0.225724262086503	0.32292397199821	0.318376777831833	0.313883185730778	0.285280682213681	0.297577447523205	0.292514568131512	0.326325224194693	0.326797739511296	0.317515675881895	0.215394849669181	0.219278029674338	0.217783669164127
"BRC1_2"	0.148857236734066	0.392448183256355	0.395042566702344	0.0101010679316961	0	0.025838631059145	0.230210760696057	0.230692142455091	0.233482645440531	0.21111298117764	0.225330852377738	0.230042291987791	0.244105951416795	0.244370506569077	0.245465219391879	0.220565453876284	0.228530524028324	0.22609942392915	0.317681660786711	0.30955050586526	0.304957223450389	0.276043001245661	0.288459694860233	0.283335764188667	0.317302822119211	0.317778832074034	0.308409668082337	0.215877592532566	0.219733683870295	0.21824412762231
"BRC1_3"	0.149565537733794	0.365020347747355	0.367390686127484	0.0206004379170809	0.025838631059145	0	0.238092005259453	0.238605597561542	0.241391539726023	0.219150299145255	0.233251838475732	0.237932777333328	0.252043306300682	0.252264612134466	0.253348008789223	0.199714088666602	0.207665944314424	0.205400773456397	0.321196684317581	0.316669970036584	0.312176481243511	0.283644257701114	0.295906680878423	0.290855567005145	0.324546100005888	0.325017268238368	0.315758582605115	0.193017437013317	0.196942444210988	0.195700389658692
"BRC17_1"	0.338007883762565	0.445121570758726	0.447531182589844	0.239523872540483	0.230210760696057	0.238092005259453	0	0.0176494540052579	0.0192969437635734	0.0530744142803844	0.0445775204782146	0.0402525471239654	0.0445295234723426	0.0347805900173717	0.0437339989639649	0.292351206883409	0.298851601139983	0.296419939335988	0.1864764359161	0.176159760555918	0.168716234604962	0.105956666700865	0.121449790411136	0.114426256200417	0.183649766818462	0.193526648042805	0.185837914014679	0.363567744218722	0.364223087481247	0.35021045492387
"BRC17_2"	0.334965398732894	0.430622214261424	0.432948130307482	0.240046338501311	0.230692142455091	0.238605597561542	0.0176494540052579	0	0.00241759379783768	0.0514584685650032	0.0376618901784568	0.0344536593152934	0.03747950262624	0.0297765542329868	0.0456620014180234	0.278292127289156	0.284814151019917	0.282463314974416	0.188703607416017	0.178357280446615	0.170915363186602	0.107490614828279	0.123543023442964	0.116512744831832	0.169009250146712	0.178925945848167	0.171031501395234	0.364639631654361	0.365295070315638	0.351213710373873
"BRC17_3"	0.335238800149321	0.431993072977116	0.434326982372619	0.242847668520171	0.233482645440531	0.241391539726023	0.0192969437635734	0.00241759379783768	0	0.0530851059577222	0.039274448395538	0.0360624621461079	0.0358388303479412	0.0281457609906897	0.0440281390210564	0.279618647388671	0.286138744880183	0.283780210804106	0.187160141715446	0.176814545490482	0.169356815121294	0.105885365604429	0.121959411422597	0.114918636990961	0.168153639633363	0.178067923612819	0.170165187180932	0.367487858351221	0.368135856134642	0.354035123199514
"BRC30_1"	0.325428908581772	0.438191372632302	0.440601712949034	0.220498762030865	0.21111298117764	0.219150299145255	0.0530744142803844	0.0514584685650032	0.0530851059577222	0	0.0145945753634987	0.0191581990219521	0.0895611586088047	0.0815260695746056	0.0975404641484278	0.282771866301217	0.289673165434474	0.287289117134347	0.237930125574327	0.227542511606497	0.22059754160623	0.157982380655182	0.173507091131113	0.166665429931746	0.216144985269352	0.227999615580202	0.214746179770043	0.34625876362367	0.346970945505271	0.332846077099444
"BRC30_2"	0.335438415029367	0.434545568801646	0.436898311945419	0.234662753807564	0.225330852377738	0.233251838475732	0.0445775204782146	0.0376618901784568	0.039274448395538	0.0145945753634987	0	0.00573871073239586	0.0752861403044898	0.0674069080093316	0.0832569094770605	0.281406501771239	0.288217891467138	0.285873941723631	0.223339216171631	0.213038379513066	0.205997330398065	0.143442121973958	0.159038882631504	0.152156330593975	0.201572922868317	0.213305421130056	0.200069360167629	0.359145515242804	0.359815212389886	0.345773567561393
"BRC30_3"	0.33813479570304	0.440057631242404	0.442437406746332	0.239365407329538	0.230042291987791	0.237932777333328	0.0402525471239654	0.0344536593152934	0.0360624621461079	0.0191581990219521	0.00573871073239586	0	0.0719558766634078	0.0641149990876535	0.079922145899433	0.287036108171236	0.293826159539849	0.291454053712216	0.219892875736132	0.20961497826056	0.202553437704644	0.140029754714112	0.155638684134911	0.148748635590039	0.198094739948881	0.209801998758868	0.196521148370655	0.363553525670707	0.364209693060881	0.350180466842663
"BRC5_1"	0.329513507065701	0.416822296862914	0.419068066498277	0.253567013764138	0.244105951416795	0.252043306300682	0.0445295234723426	0.03747950262624	0.0358388303479412	0.0895611586088047	0.0752861403044898	0.0719558766634078	0	0.00961167790703387	0.0148753722176508	0.267034461851327	0.2735783744769	0.27129114807339	0.162603896012391	0.154295832065455	0.142760431449294	0.0743234775980553	0.0922303994313602	0.0837318428685524	0.144865645567098	0.154826611723702	0.14660804657392	0.380862649182856	0.381621809148295	0.367449573703791
"BRC5_2"	0.334178382751835	0.421770503288097	0.424035568019444	0.25378126323297	0.244370506569077	0.252264612134466	0.0347805900173717	0.0297765542329868	0.0281457609906897	0.0815260695746056	0.0674069080093316	0.0641149990876535	0.00961167790703387	0	0.0159001887203455	0.271893102651543	0.278404182287006	0.276097816922785	0.165047925061717	0.156778237339848	0.145320679483734	0.0798498706804712	0.0963379012122902	0.0890995781407968	0.152767659368447	0.162681960487396	0.154595848370182	0.379811098235792	0.380568635178009	0.366484659055078
"BRC5_3"	0.334897801749358	0.420483039861604	0.422736565076737	0.254868774345834	0.245465219391879	0.253348008789223	0.0437339989639649	0.0456620014180234	0.0440281390210564	0.0975404641484278	0.0832569094770605	0.079922145899433	0.0148753722176508	0.0159001887203455	0	0.271142407000084	0.277644760801777	0.275346266739644	0.150718181733669	0.142436540530741	0.1308244324433	0.0730154316681862	0.0812595639297866	0.0739094669195441	0.152025459731948	0.161929642611977	0.153842931742481	0.381024952800902	0.381778370932436	0.367703473206668
"PC1_1"	0.290792472487708	0.168088895416306	0.169282951257572	0.22015389722038	0.220565453876284	0.199714088666602	0.292351206883409	0.278292127289156	0.279618647388671	0.282771866301217	0.281406501771239	0.287036108171236	0.267034461851327	0.271893102651543	0.271142407000084	0	0.0135988591286972	0.00812543165136431	0.287249462526928	0.283256452822023	0.278265401581004	0.247958776304803	0.260483299060754	0.255279715148329	0.289061550008603	0.289539209495443	0.28008486352824	0.189683123484413	0.18631493166046	0.178382697530864
