"sample"	"NMDS1"	"NMDS2"	"Group"
"BR_1"	-0.0641968577126148	0.178663996345984	"BR"
"BR_2"	-0.532334247582261	0.0629039040270011	"BR"
"BR_3"	-0.542986652817243	0.0516413171572815	"BR"
"BRC1_1"	-0.189135259307119	0.213270361005961	"BRC1"
"BRC1_2"	-0.159328010278276	0.20171304900706	"BRC1"
"BRC1_3"	-0.204596530335289	0.210194265406354	"BRC1"
"BRC17_1"	0.142292947695204	0.0591517303390183	"BRC17"
"BRC17_2"	0.140607354327514	0.0564648028194788	"BRC17"
"BRC17_3"	0.143919744474126	0.056590545037768	"BRC17"
"BRC30_1"	0.205920580557428	0.0747459353849268	"BRC30"
"BRC30_2"	0.195736300010669	0.065748254904213	"BRC30"
"BRC30_3"	0.20311668583748	0.065473352304392	"BRC30"
"BRC5_1"	0.101250487105458	0.07718641005392	"BRC5"
"BRC5_2"	0.10393820428288	0.0675448295859023	"BRC5"
"BRC5_3"	0.0996319438009076	0.0684849264262453	"BRC5"
"PC1_1"	-0.107771779232639	-0.203107879062645	"PC1"
"PC1_2"	-0.119519391073326	-0.187263304287351	"PC1"
"PC1_3"	-0.123115990394218	-0.189774200627156	"PC1"
"PC17_1"	0.088762236043067	-0.0561903614012545	"PC17"
"PC17_2"	0.0758087926475257	-0.0332313787948211	"PC17"
"PC17_3"	0.0874670643465799	-0.0383524446464281	"PC17"
"PC30_1"	0.175172784258181	-0.0328703721978878	"PC30"
"PC30_2"	0.164033904702251	-0.034650031003744	"PC30"
"PC30_3"	0.177355707019474	-0.0323082489955058	"PC30"
"PC5_1"	0.195989016512688	-0.073176436787622	"PC5"
"PC5_2"	0.193216087920866	-0.0759615260783488	"PC5"
"PC5_3"	0.203066229856076	-0.0721863573579122	"PC5"
"PM_1"	-0.221586896135739	-0.154038238699901	"PM"
"PM_2"	-0.219610843502113	-0.16687217733556	"PM"
"PM_3"	-0.213103613027535	-0.159794722529369	"PM"
