"sample"	"PC1"	"PC2"	"Group"
"BR_1"	-192.820633438416	97.271035378982	"BR"
"BR_2"	-184.47619571072	-179.642893774849	"BR"
"BR_3"	-190.176325866442	-177.201052801493	"BR"
"BRC1_1"	-141.594967111623	77.9305420911711	"BRC1"
"BRC1_2"	-136.36924551603	79.1042598395029	"BRC1"
"BRC1_3"	-138.957047521435	63.8305685157249	"BRC1"
"BRC17_1"	57.0845859233993	126.442594182755	"BRC17"
"BRC17_2"	52.7083544112392	111.827692069784	"BRC17"
"BRC17_3"	54.4686249564319	111.773451017711	"BRC17"
"BRC30_1"	20.7340218969728	125.71361507014	"BRC30"
"BRC30_2"	36.4755461693736	121.985143329674	"BRC30"
"BRC30_3"	41.4879524703169	126.117349011216	"BRC30"
"BRC5_1"	67.2476561044775	87.6519946192584	"BRC5"
"BRC5_2"	67.8284768436021	95.4333424367447	"BRC5"
"BRC5_3"	75.0384003281621	92.5129936357811	"BRC5"
"PC1_1"	-95.8216515111429	-92.2072144713144	"PC1"
"PC1_2"	-94.3195228323153	-100.675238750558	"PC1"
"PC1_3"	-93.4350771192098	-96.9439784703367	"PC1"
"PC17_1"	190.197592083382	-99.1185090991651	"PC17"
"PC17_2"	182.824012943423	-98.2355956504168	"PC17"
"PC17_3"	171.390931040644	-85.6473758970215	"PC17"
"PC30_1"	116.898048971212	-0.503850259813367	"PC30"
"PC30_2"	137.828143659983	-7.48397232224517	"PC30"
"PC30_3"	129.514619158537	5.14081103426012	"PC30"
"PC5_1"	168.78971784619	-107.072872865479	"PC5"
"PC5_2"	172.875484384221	-120.208332117561	"PC5"
"PC5_3"	157.163184224271	-103.40403821465	"PC5"
"PM_1"	-214.143823988778	-15.5796533140898	"PM"
"PM_2"	-213.20328354947	-17.5926302033709	"PM"
"PM_3"	-205.237579250254	-21.2181840203419	"PM"
