"sample"	"PC1"	"PC2"	"Group"
"BR_1"	-0.122096430487902	0.199522206365571	"BR"
"BR_2"	-0.199323200113713	-0.245952092110582	"BR"
"BR_3"	-0.205031384991059	-0.243933267923325	"BR"
"BRC1_1"	-0.100994310798612	0.128817672966396	"BRC1"
"BRC1_2"	-0.0919600153225152	0.12909943698347	"BRC1"
"BRC1_3"	-0.113721613797586	0.112664815209456	"BRC1"
"BRC17_1"	0.103156543458514	0.0793617137907564	"BRC17"
"BRC17_2"	0.0983489408750143	0.0657748224061161	"BRC17"
"BRC17_3"	0.100952102402282	0.0651543079758676	"BRC17"
"BRC30_1"	0.0723387199167693	0.0981664415978786	"BRC30"
"BRC30_2"	0.0850053851342862	0.0824793860211877	"BRC30"
"BRC30_3"	0.0916327655924762	0.0835730120343245	"BRC30"
"BRC5_1"	0.107470428719161	0.0391065632608218	"BRC5"
"BRC5_2"	0.108587766828157	0.0444433023994389	"BRC5"
"BRC5_3"	0.110113137981647	0.0391753628173501	"BRC5"
"PC1_1"	-0.140709800788655	-0.0693229113356126	"PC1"
"PC1_2"	-0.140992488538179	-0.0807106375729504	"PC1"
"PC1_3"	-0.140715153944271	-0.0760613759020792	"PC1"
"PC17_1"	0.136787175077012	-0.0815091350383691	"PC17"
"PC17_2"	0.134687393940137	-0.078389385239512	"PC17"
"PC17_3"	0.13211630502644	-0.0745086269716066	"PC17"
"PC30_1"	0.111343921654038	-0.0510582587051756	"PC30"
"PC30_2"	0.122306436990495	-0.0566422871362488	"PC30"
"PC30_3"	0.117456989349378	-0.0534247939624906	"PC30"
"PC5_1"	0.144942701561152	-0.0722280021148116	"PC5"
"PC5_2"	0.142466616877586	-0.0756847615561797	"PC5"
"PC5_3"	0.13507582459132	-0.0719368832003624	"PC5"
"PM_1"	-0.271039521762547	0.0578494139619536	"PM"
"PM_2"	-0.271584291282671	0.0556186972930707	"PM"
"PM_3"	-0.256620944148155	0.0505552636856463	"PM"
