"PC1_1"	"PC1_2"	"PC1_3"	"PC17_1"	"PC17_2"	"PC17_3"	"PC30_1"	"PC30_2"	"PC30_3"
"K00016"	95.599473	91.917976	99.437143	42.212271	44.730696	40.784461	36.807452	38.025436	36.874904
"K00174"	310.821418	319.921193	304.799066	559.076277	570.007187	548.084382	456.530588	466.891283	447.085297
"K00175"	257.212126	265.663579	259.328714	513.152808	501.398403	493.368306	398.676563	422.251422	405.928085
"K00194"	2.279431	1.535852	2.076795	1.92895	1.172276	1.175965	0.122709	0.531001	0.570342
"K00197"	3.450017	3.461691	2.268164	1.505929	1.797487	1.679996	0.19856	0.268042	0.333182
"K00244"	102.134773	102.366134	110.722928	21.546587	20.168077	18.315155	16.820512	15.463268	17.999071
"K00400"	0.576546	0.714136	0.466407	1.408915	1.619883	1.123897	0.249751	0.234163	0.318443
"K00401"	0.384779	0.707514	1.004147	0.920929	1.50265	1.646462	0.267703	0.53376	0.195395
"K00855"	10.379642	10.378855	10.863337	12.682479	13.934172	15.421169	8.798816	9.846086	10.244513
"K01061"	36.453968	37.719895	37.014229	182.084975	192.957145	192.383092	271.677363	260.453541	265.012179
"K01602"	1.077734	0.317088	0.752179	7.642111	7.764152	9.009844	5.50763	9.275889	6.586629
"K02256"	0.110866	0.084572	0.057461	0	0	0	0.035476	0	0
"K02262"	0.138481	0.320371	0.351036	0	0	0	0	0.144101	0.12504
"K02274"	273.005535	266.254672	274.676685	443.896123	438.22804	431.814642	422.046848	439.167075	439.201773
"K02276"	76.325307	71.062705	73.210586	324.714112	309.282047	307.567411	292.745332	310.51005	310.612943
