"","PC1","PC17","PC30"
"norank",0.156071176473596,0.919728324422006,0.952288751262681
"Mycobacteriaceae",0.202744376231138,0.00973355471505695,0.00947830320350824
"Pseudomonadaceae",0.14541288512408,0,0
"Phyllobacteriaceae",0.0615166708353355,0.0222652919154272,0.00182305462809078
"Bradyrhizobiaceae",0.0769476951466536,0,0
"Geobacteraceae",0.057774629346468,0,0
"Alcaligenaceae",0.0484237086793013,0,0
"Bogoriellaceae",0.0419881117576845,0.0016536408099892,0
"Intrasporangiaceae",0.0268991019910479,0.00357786708114863,0.0124497303669053
"Rhizobiaceae",0.0386045514427124,0.000664993534416693,0
"Pseudonocardiaceae",0.0366704528847576,0,0
"Nocardiaceae",0.0356009187582329,0,0
"Hyphomicrobiaceae",0.0340819386109455,0,0
"Sinobacteraceae",0.00225068278413252,0.0117255184645421,0.0156380165986127
"Frankiaceae",0,0.0177210192624696,0.00665441232525116
"Rhodobacteraceae",0.0196065099756234,0,0
"Sphaerobacteraceae",0.012455610648677,0.00120840178790498,0.000381889361491309
"Ilumatobacteraceae",0.00295097930961399,0.0104793553862239,0
"Rhodanobacteraceae",0,0.000636586515408773,0.000790764438896415
"Ardenticatenaceae",0,0.000605446105405793,0.000495077814562809
"Acetobacteraceae",0,0,0
"Acidobacteriaceae",0,0,0
