"","PC1","PC17","PC30"
"norank",0.156071176473596,0.919728324422006,0.952288751262681
"Mycolicibacterium",0.202744376231138,0.00973355471505695,0.00947830320350824
"Pseudomonas",0.14541288512408,0,0
"Geobacter",0.057774629346468,0,0
"Afipia",0.0522066511504098,0,0
"Mesorhizobium",0.0471345973640247,0,0
"Georgenia",0.0419881117576845,0.0016536408099892,0
"Ornithinicoccus",0.0268991019910479,0.00357786708114863,0.0124497303669053
"Shinella",0.0386045514427124,0.000664993534416693,0
"Aminobacter",0.0143820734713109,0.0222652919154272,0.00182305462809078
"Pseudonocardia",0.0366704528847576,0,0
"Rhodococcus",0.0356009187582329,0,0
"Devosia",0.0340819386109455,0,0
"Sinimarinibacterium",0.00225068278413252,0.0117255184645421,0.0156380165986127
"Candidimonas",0.0270759854597008,0,0
"Bradyrhizobium",0.0247410439962437,0,0
"Frankia",0,0.0177210192624696,0.00665441232525116
"Pusillimonas",0.0213477232196005,0,0
"Paracoccus",0.0196065099756234,0,0
"Sphaerobacter",0.012455610648677,0.00120840178790498,0.000381889361491309
"Ilumatobacter",0.00295097930961399,0.0104793553862239,0
"Pseudofulvimonas",0,0.000636586515408773,0.000790764438896415
"Ardenticatena",0,0.000605446105405793,0.000495077814562809
"Acidobacterium",0,0,0
"Roseomonas",0,0,0
