"","PC1","PC17","PC30"
"norank",0.156071176473596,0.919728324422006,0.952288751262681
"Corynebacteriales",0.238345294989371,0.00973355471505695,0.00947830320350824
"Rhizobiales",0.211150856035647,0.0229302854498439,0.00182305462809078
"Pseudomonadales",0.14541288512408,0,0
"Micrococcales",0.0688872137487324,0.00523150789113782,0.0124497303669053
"Desulfuromonadales",0.057774629346468,0,0
"Burkholderiales",0.0484237086793013,0,0
"Pseudonocardiales",0.0366704528847576,0,0
"Nevskiales",0.00225068278413252,0.0117255184645421,0.0156380165986127
"Frankiales",0,0.0177210192624696,0.00665441232525116
"Rhodobacterales",0.0196065099756234,0,0
"Sphaerobacterales",0.012455610648677,0.00120840178790498,0.000381889361491309
"Acidimicrobiales",0.00295097930961399,0.0104793553862239,0
"Xanthomonadales",0,0.000636586515408773,0.000790764438896415
"Ardenticatenales",0,0.000605446105405793,0.000495077814562809
"Acidobacteriales",0,0,0
"Rhodospirillales",0,0,0
