"","PC1","PC17","PC30"
"Acidimicrobiia",0.0339286373030562,0.485801982879458,0.444661128375762
"Gammaproteobacteria",0.60577452760925,0.02937442675411,0.00550226967600169
"Actinobacteria",0.276132508518374,0.106772973914013,0.142495150078808
"norank",0.0046076149361943,0.197038224835145,0.177081829617783
"Thermomicrobia",0.0364146158386426,0.101389365197359,0.129029840090205
"Alphaproteobacteria",0.0139535895938623,0.0285047419789249,0.0737468458459736
"Thermoleophilia",0.0039132335991492,0.0200990988124721,0.00941384166989318
"Nitriliruptoria",0.00400930992846095,0.00563472041433397,0.0122659064823437
"Bacilli",0,0.0201973995792671,0.00155395576042801
"Sphingobacteriia",0.0141346922093428,0,0
"Gemmatimonadetes",0.000508583156157748,0.00472540528347663,0.00246696335397527
"Deltaproteobacteria",0.00662268730750993,0,0.000159859589073414
"Planctomycetia",0,0.000461660351439626,0.00162240945975257
"Chloroflexia",0,0,0
