"","PC1","PC17","PC30"
"norank",0.13795692068982,0.808810190467418,0.774176851603647
"Spiribacter",0.60577452760925,0.0291686787763707,0.00472811861395804
"Sphaerobacter",0.0168642215686045,0.100799291209793,0.128944342989031
"Bauldia",0,0.0243867530933718,0.0632888617633714
"Corynebacterium",0.0551570073356541,0,0
"Mycolicibacterium",0.0231959806409992,0.00957346034219356,0.00351670952364097
"Thermoleophilum",0.0039132335991492,0.0200990988124721,0.00941384166989318
"Georgenia",0.0281444317679799,9.23208881944944e-05,0.000405216279321052
"Dietzia",0.0230798848951028,0.000250354364988241,3.86507673418547e-05
"Demequina",0.0218939031654072,0.000236803700858172,0
"Gryllotalpicola",0.0148637138851974,0.000131745391692201,0
"Chelativorans",0,0.00411798888555315,0.0103999551745486
"Sphingobacterium",0.0141346922093428,0,0
"Parvibaculum",0.0139535895938623,0,5.80289080536268e-05
"Actinotalea",0.010228769071306,0.000408736011509261,0.000654323515563295
"Lysinimonas",0.00848283413755904,0,0
"Enteractinococcus",0.00755477109934039,0,0
"Ornithinicoccus",0.00287410778633839,0.000745037471436518,0.00163188654272616
"Chondromyces",0.00409245236503539,0,0.000159859589073414
"Pseudoclavibacter",0.00385058857084759,0,0
"Sandaracinus",0.00253023494247454,0,0
"Mycobacterium",0.00145413506672989,0.000512132254969855,0.000186792538034167
"Pirellula",0,0.000461660351439626,0.00162240945975257
"Steroidobacter",0,0.000205747977739369,0.000774151062043644
