"","PC1","PC17","PC30"
"norank",0.113888633335163,0.777662591202774,0.757804528905726
"Chromatiales",0.60577452760925,0.0291686787763707,0.00472811861395804
"Sphaerobacterales",0.0168642215686045,0.100799291209793,0.128944342989031
"Corynebacteriales",0.102887007938486,0.0103359469621517,0.00374215282901699
"Rhizobiales",0.0139535895938623,0.0285047419789249,0.0737468458459736
"Micrococcales",0.0978931194839759,0.00161464346369065,0.0026914263376105
"Thermoleophilales",0.0039132335991492,0.0200990988124721,0.00941384166989318
"Nitriliruptorales",0.00400930992846095,0.00563472041433397,0.0122659064823437
"Bacillales",0,0.0201973995792671,0.00155395576042801
"Thermomicrobiales",0.0195503942700381,0.000590073987566463,8.54971011742242e-05
"Sphingobacteriales",0.0141346922093428,0,0
"Gemmatimonadales",0.000508583156157748,0.00472540528347663,0.00246696335397527
"Myxococcales",0.00662268730750993,0,0.000159859589073414
"Pirellulales",0,0.000461660351439626,0.00162240945975257
"Nevskiales",0,0.000205747977739369,0.000774151062043644
