"","PC1","PC17","PC30"
"Acidimicrobiia bacterium",0.0339286373030562,0.485801982879458,0.444661128375762
"Spiribacter sp. E85",0.60577452760925,0.0291686787763707,0.00472811861395804
"Actinobacteria bacterium",0.0753523810959123,0.0948223834881712,0.13606157091218
"Sphaerobacter thermophilus",0.0168642215686045,0.100799291209793,0.128944342989031
"bacterium",0,0.103344828703277,0.0805342540157014
"Proteobacteria bacterium",0.00204721028305206,0.0813805643307246,0.0797432053530847
"Bauldia sp.",0,0.0243867530933718,0.0632888617633714
"Corynebacterium casei",0.0551570073356541,0,0
"Thermoleophilum album",0.0039132335991492,0.0200990988124721,0.00941384166989318
"Georgenia satyanarayanai",0.0281444317679799,9.23208881944944e-05,0.000405216279321052
"Mycolicibacterium thermoresistibile",0.012151392226708,0.00944330585743036,0.00251288308232662
"Dietzia sp. ANT_WB102",0.0230798848951028,0.000250354364988241,3.86507673418547e-05
"Nitriliruptorales bacterium",0.00400930992846095,0.00563472041433397,0.0122659064823437
"Paenibacillaceae bacterium ZCTH02-B3",0,0.0201973995792671,0.00155395576042801
"Thermomicrobiales bacterium",0.0195503942700381,0.000590073987566463,8.54971011742242e-05
"Gryllotalpicola sp. 2DFW10M-5",0.0148637138851974,0.000131745391692201,0
"Chelativorans sp. lm93",0,0.00411798888555315,0.0103999551745486
"Sphingobacterium sp. T2",0.0141346922093428,0,0
"Parvibaculum lavamentivorans",0.0139535895938623,0,5.80289080536268e-05
"Demequina sp. NBRC 110056",0.0127420774845895,0.000124179688932408,0
"Mycolicibacterium phlei",0.0110445884142913,0.000130154484763202,0.00100382644131435
"Gemmatimonadetes bacterium RBG_16_66_8",0,0.0059291957620608,0.00557578613280951
"Actinotalea fermentans",0.010228769071306,0.000408736011509261,0.000654323515563295
"Demequina sp. NBRC 110052",0.00915182568081762,0.000112624011925764,0
"Lysinimonas sp. KACC 19322",0.00848283413755904,0,0
"Gemmatimonadales bacterium",0.000508583156157748,0.00472540528347663,0.00246696335397527
"Enteractinococcus helveticum",0.00755477109934039,0,0
"Acidobacteria bacterium SCN 69-37",0,0.00075209489722219,0.00501183063211881
"Ornithinicoccus halotolerans",0.00287410778633839,0.000745037471436518,0.00163188654272616
"Chloroflexi bacterium",0,0.00159514087619362,0.00326598312585425
"bacterium HR29",0,0.00317168898067388,0.00115639596656193
"Chondromyces crocatus",0.00409245236503539,0,0.000159859589073414
"Zimmermannella sp. YIM 102482-1",0.00385058857084759,0,0
"Planctomycetes bacterium",0,0.000864711284993342,0.00179437439165257
"Acidobacteria bacterium",0.00256040465314224,0,0
"Sandaracinus sp.",0.00253023494247454,0,0
"Mycobacterium sp. M26",0.00145413506672989,0.000512132254969855,0.000186792538034167
"Pirellula staleyi",0,0.000461660351439626,0.00162240945975257
"Steroidobacter agariperforans",0,0.000205747977739369,0.000774151062043644
"Chloroflexia bacterium SDU3-3",0,0,0
