"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"norank",0.145338130225793,0.231587860130534,0.634902051245079,0.624034627141286,0.564576486319238,0.223629260771847,0.917891323961491,0.923321432413046,0.882235873377911,0.0260553792686994
"Clostridia",0.554110491462958,0.386675626488753,0.00273843800003161,0.00103285065144143,0.0342514914435403,0.344197544931371,0.00212820780362052,0.000484675286703509,0.00559876383184005,0.683497263639796
"Actinobacteria",0.00408848730746644,0.132958363027566,0.106402145282832,0.0621348691777825,0.189787167749004,0.163211419945823,0.0501784224489538,0.039916237314473,0.10384862381681,0.0331711910062646
"Bacilli",0.00789426365103783,0.0227759658648979,0.0283068008858334,0.000333742907838473,0.0592835340949165,0.175568565308251,0.000706798669404097,0.000612242312529485,0.000834482103046688,0.173648412980241
"Bacteroidia",0.168178510889946,0.0259057116951311,0.000143804513936828,0,0.000695607604301507,0.035612005106329,0.00053331275809191,0,0.000134461253274802,0.0422726986262072
"Thermoleophilia",0,0.000109810108696752,0.056628565968178,0.0979771866825646,0.0120585684603354,0,0.0137306532995818,0.0132458844682487,0.00218478353168971,0
"Anaerolineae",0.00310114476710446,0.00917529730796085,0.0499616428654025,0.119464671759551,0.00591482387910516,0.00233605827999704,0.000155473828839677,0.00444982225301235,3.48695854269586e-05,0.000482829609490949
"Acidimicrobiia",0.00157823010737671,0.0515615702996099,0.0405640437795848,0.0108686672674797,0.0592897596287179,0.0087839770092716,0.00570285760029216,0.00139501571893524,0.00122060344180904,0.00374458786564697
"Methanobacteria",0.0299048258078388,0.048527822563155,0.00117910536829084,0.000283083177931345,0.0135982090923324,0.0163499954626493,0.000124195778170832,0,0.000505689176235701,0.00893504033723884
"Thermoflexia",0,0.00157022329745147,0.0290654882389474,0.0111705539626823,0.0507061333547303,0.00053060095122914,0.00458276112591151,0.00571760099989916,0.00257489025456851,0
"Vicinamibacteria",0,0,0.027157982525313,0.0462967130033086,0,0,0,0.00144060036434711,0,0
"Spirochaetia",0.047194770608659,0.00974256301988017,0,0,0.000341024867763772,0.00663817198025389,6.29998437293642e-05,0,0,0.0012701578730906
"Deinococci",0.00157053525661678,0.0386720711242222,0.00282279415027543,0.000226000142228173,0.00176664537396276,0.00204479562157715,0.000146159097243996,0,0,0.0004156864159048
"Nitriliruptoria",0,0,0.0066995968909241,0.0216339151899676,0.000989711944479716,0,0.00285663023270241,0.0078782645529179,0.0002843753409707,0
"Gammaproteobacteria",0.00644569372037973,0.00476463105613645,0.000332533494273788,0.000294582652441587,0.000223732460242468,0.00663041487345431,0,7.78331329249278e-05,0.000129926552906563,0.0157560234073542
"Betaproteobacteria",0.0143816258219485,0.00781058510861526,0.00201992147560294,0.00132076486686275,0.000950020379132513,0,0.000105929026151796,0.000748145057444061,2.80403847610044e-05,0.000377812870983229
"Methanomicrobia",0.00449855044965536,0.00935353823087197,0.00189224466380408,0.000249040308003175,0.00312710719414791,0.00206355742773596,0.000365960138358569,0,0,0.000455200099906339
"Deltaproteobacteria",0.00270905797484312,0.00639506806212939,0.000393856616177024,0.000256272763769473,0.000384516272236266,0.00378574648327481,0,0.000121573944075762,1.87348411760532e-05,0.0047962655454603
"Alphaproteobacteria",0.00085598077153409,0.00244336463400748,0.00308536389952401,0.000714368789288597,0.000843521510890179,0.00189440424955837,0.000728314387456092,0.00013183042725325,0.000313425962516609,0.00407203479904954
"Tissierellia",0.00300350878228403,0.00276864384455671,0,0,0,0.00542975206764939,0,0,0,0.000704248385286493
"Caldilineae",0.000466988821296993,0.00221133112900697,0.00482300177626069,0.00151420377302249,0.00104842587520414,0.00129372952972818,0,0.000183715873726735,0,0.000345167269379053
"Chitinophagia",0.000297898529976419,0.00381178729971725,0.000880618359728697,0.000193885782550824,0.000163512495718386,0,0,0.000275125880463431,5.24565450561641e-05,0
"Thermoplasmata",0.00244556472370973,0.000808158935975649,0,0,0,0,0,0,0,0
"Synergistia",0.00114539874915918,0.000230449504739785,0,0,0,0,0,0,0,0
"Cytophagia",0.000790341570416785,0.000139557266385629,0,0,0,0,0,0,0,0
