"","PC1","PC17","PC30"
"norank",0.603960838668913,0.936428725524449,0.944167615630152
"Nocardioidaceae",0.148527728473498,0.00210884417000496,0.000670936051222878
"Mycobacteriaceae",0.0764514547776444,0.0025103874721062,0.00678969727635319
"Peptostreptococcaceae",0.0481888030000713,0.000613293321197653,0
"Thermomonosporaceae",0.0109494873862591,0.0195428470800356,0.0101464540725167
"Intrasporangiaceae",0.0222544001574819,0.00142786769902039,0.00620152227524506
"Micromonosporaceae",0.00497761971231348,0.0137797210091811,0.00986006045091248
"Paenibacillaceae",0.0267170506498279,0.000552459061567744,0.00042764802293454
"Thermoleophilaceae",0,0.0137846601126597,0.0132581195292966
"Acidimicrobiaceae",0.0211844717386196,0.00379702199138148,0.000536755795897127
"Bacillaceae",0.0118444307528208,0,0.000185159810311047
"Thermoflexaceae",0.00132184217050997,0.00460078651174769,0.00572288227782732
"Lachnospiraceae",0.010695631924652,0,0
"Rhodospirillaceae",0.0047193722877028,0.000731179068263851,0.000131952197402256
"Marinilabiliaceae",0.00498390715408703,0,0
"Caldilineaceae",0.00322296114559778,0,0.000183885569826373
"Vicinamibacteraceae",0,0,0.00144193102923745
"Chitinophagaceae",0,0,0.000275380010865322
"Methanomicrobiaceae",0,0.000122206978384153,0
"Alicyclobacillaceae",0,0,0
"Anaerolineaceae",0,0,0
"Bacillales Family X. Incertae Sedis",0,0,0
"Clostridiales Family XVII. Incertae Sedis",0,0,0
"Methanobacteriaceae",0,0,0
"Rhodanobacteraceae",0,0,0
"Sandaracinaceae",0,0,0
