"","PC1","PC17","PC30"
"norank",0.670929999090633,0.940469334414879,0.944704371426049
"Marmoricola",0.130978184010213,0.000500348614513392,0.000201429352561763
"Mycolicibacterium",0.0764514547776444,0.0025103874721062,0.00678969727635319
"Ornithinicoccus",0.0222544001574819,0.00142786769902039,0.00620152227524506
"Thermomonospora",0,0.0195428470800356,0.0099966227659357
"Micromonospora",0.00497761971231348,0.0137797210091811,0.00986006045091248
"Thermobacillus",0.0267170506498279,0.000552459061567744,0.00042764802293454
"Thermoleophilum",0,0.0137846601126597,0.0132581195292966
"Nocardioides",0.0175495444632857,0.00160849555549156,0.000469506698661115
"Bacillus",0.0118444307528208,0,0.000185159810311047
"Thermoflexus",0.00132184217050997,0.00460078651174769,0.00572288227782732
"Actinomadura",0.0109494873862591,0,0.000149831306580981
"Cellulosilyticum",0.010695631924652,0,0
"Terrisporobacter",0.00738802147105888,0.000369706422149098,0
"Tistlia",0.0047193722877028,0.000731179068263851,0.000131952197402256
"Litorilinea",0.00322296114559778,0,0.000183885569826373
"Luteitalea",0,0,0.00144193102923745
"Flavihumibacter",0,0,0.000275380010865322
"Methanoculleus",0,0.000122206978384153,0
"Ahniella",0,0,0
"Brevefilum",0,0,0
"Methanobrevibacter",0,0,0
"Sandaracinus",0,0,0
"Thermaerobacter",0,0,0
"Thermicanus",0,0,0
"Tumebacillus",0,0,0
