"","PC1","PC17","PC30"
"norank",0.597510339489956,0.933560859300885,0.937724005050116
"Propionibacteriales",0.148527728473498,0.00210884417000496,0.000670936051222878
"Corynebacteriales",0.0764514547776444,0.0025103874721062,0.00678969727635319
"Clostridiales",0.0588844349247234,0.000613293321197653,0
"Streptosporangiales",0.0109494873862591,0.0195428470800356,0.0101464540725167
"Bacillales",0.0385614814026487,0.000552459061567744,0.000612807833245587
"Micrococcales",0.0222544001574819,0.00142786769902039,0.00620152227524506
"Micromonosporales",0.00497761971231348,0.0137797210091811,0.00986006045091248
"Thermoleophilales",0,0.0137846601126597,0.0132581195292966
"Acidimicrobiales",0.0211844717386196,0.00379702199138148,0.000536755795897127
"Thermoflexales",0.00132184217050997,0.00460078651174769,0.00572288227782732
"Nitriliruptorales",0,0.00286786622356491,0.00788554160927358
"Bacteroidales",0.00645049917895719,0,0
"Rhodospirillales",0.0047193722877028,0.000731179068263851,0.000131952197402256
"Marinilabiliales",0.00498390715408703,0,0
"Caldilineales",0.00322296114559778,0,0.000183885569826373
"Chitinophagales",0,0,0.000275380010865322
"Methanomicrobiales",0,0.000122206978384153,0
"Anaerolineales",0,0,0
"Methanobacteriales",0,0,0
"Myxococcales",0,0,0
"Xanthomonadales",0,0,0
