"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Firmicutes",0.68244289073452,0.519032601868329,0.320485034894002,0.0440164481229246,0.522640458304086,0.65775698617472,0.800501795858257,0.678103700092689,0.81579097102793,0.875844307720325
"Actinobacteria",0.00566671741484315,0.184629743435872,0.210294351921518,0.192614638317794,0.262125207782538,0.171995396955094,0.0724685635815302,0.0624354020545748,0.10753838613128,0.0369157788719115
"Proteobacteria",0.0277618978058245,0.0310589218837219,0.148876356494402,0.130016039434941,0.0885408356653613,0.0411615469452495,0.11708637487713,0.22486052653231,0.0685924321374324,0.0276009574967935
"Chloroflexi",0.00359994422477988,0.0185507444823759,0.236062048822676,0.442756305726327,0.0775077871081671,0.010600494710414,0.00628581741475351,0.0187919443600801,0.00333074689144206,0.00307665489315608
"Bacteroidetes",0.169266750990339,0.0298906290549583,0.0104914338362574,0.0429870054462908,0.000951562058702578,0.035612005106329,0.00106393798074207,0.00202502634009061,0.000186917798330967,0.0422726986262072
"Deinococcus-Thermus",0.00416627861706347,0.102507179815007,0.0410601952526209,0.0993792114656091,0.0213651479913916,0.00369646552439248,0.00171749528040415,0.0121836076260141,0.000362378248725135,0.00169018382364448
"Acidobacteria",0.000935377744557726,0.0245658661300156,0.0288692343258155,0.046690380733609,0.00937665555109756,0.0507743838064271,0.000291338102596814,0.00159979299424129,0.00349462118870936,0.0014707742182219
"Euryarchaeota",0.0368489409812039,0.0586895197300026,0.00307135003209492,0.00053212348593452,0.0167253162864803,0.0184135528903852,0.000490155916529401,0,0.000505689176235701,0.00939024043714518
"Spirochaetes",0.047194770608659,0.00974256301988017,0,0,0.000341024867763772,0.00663817198025389,6.29998437293642e-05,0,0,0.0012701578730906
"Elusimicrobia",6.6698984659189e-05,0.0170698260847665,0.000789994420611982,0.000804000045242981,0.000259898658896507,0.00237729342666852,3.15211443268926e-05,0,0,0
"Candidatus Cloacimonetes",0.0160334366549579,0.00344518721408409,0,0,0,0,0,0,0,0
"norank",0.000347816847217029,0,0,0,0,0.000973702480065813,0,0,0.000197857399915501,0.000468246039504909
"Fibrobacteres",0.00190087366944961,0,0,5.17031645872691e-05,0,0,0,0,0,0
"Candidatus Nomurabacteria",0.00116607937433157,0.000502678894122724,0,0,0.00016610572551543,0,0,0,0,0
"Candidatus Parcubacteria",0.00145612659843466,8.40888821236629e-05,0,0.000152144056739453,0,0,0,0,0,0
"Synergistetes",0.00114539874915918,0.000230449504739785,0,0,0,0,0,0,0,0
