"","PC1","PC17","PC30"
"Firmicutes bacterium",0.289367117668872,0.798755353283622,0.675094508963667
"Proteobacteria bacterium",0.0718740584729311,0.116079635075172,0.22398784786905
"Marmoricola solisilvae",0.130978184010213,0.000500348614513392,0.000201429352561763
"Acidobacteria bacterium",0.126490013901256,0.00029248402348682,0.000159339674174224
"Actinobacteria bacterium",0.0771804744050497,0.0106227138572682,0.00621204407386705
"Mycolicibacterium cosmeticum",0.0751019663558066,0.000777581461219586,6.8356916448809e-05
"Peptostreptococcaceae bacterium",0.0408007815290125,0.000243586899048554,0
"Ornithinicoccus halotolerans",0.0222544001574819,0.00142786769902039,0.00620152227524506
"Thermomonospora curvata",0,0.0195428470800356,0.0099966227659357
"Micromonospora sp. MP36",0.00497761971231348,0.0137797210091811,0.00986006045091248
"Thermobacillus sp.",0.0267170506498279,0.000552459061567744,0.00042764802293454
"Thermoleophilum album",0,0.0137846601126597,0.0132581195292966
"Chloroflexi bacterium",0.0160437021585204,0.00155366956997564,0.00844860190172568
"Acidimicrobiaceae bacterium",0.0211844717386196,0.00379702199138148,0.000536755795897127
"Deinococcus-Thermus bacterium",0.00411466832889368,0.00157751672371238,0.0121948614749696
"Bacillus sp. FJAT-45350",0.0118444307528208,0,0.000185159810311047
"Thermoflexus hugenholtzii",0.00132184217050997,0.00460078651174769,0.00572288227782732
"Actinomadura hallensis",0.0109494873862591,0,0.000149831306580981
"Nocardioides daejeonensis",0.00921701979050891,0.00137678768453491,0.000315681281555072
"Nitriliruptorales bacterium",0,0.00286786622356491,0.00788554160927358
"Cellulosilyticum sp. I15G10I2",0.010695631924652,0,0
"anaerobic bacterium MO-CFX2",0.00581962836688462,0.000156085354440786,0.0044539324992589
"Mycolicibacterium hassiacum",0.00134948842183778,0.00173280601088661,0.00672134035990438
"Nocardioides sp. LS1",0.0083325246727768,0.000231707870956659,0.000153825417106043
"Terrisporobacter othiniensis",0.00738802147105888,0.000369706422149098,0
"Bacteroidales bacterium",0.00645049917895719,0,0
"Elusimicrobia bacterium RIFCSPLOWO2_12_FULL_39_28",0.00592235406997895,3.16451265229704e-05,0
"Tistlia consotensis",0.0047193722877028,0.000731179068263851,0.000131952197402256
"Marinilabiliaceae bacterium",0.00498390715408703,0,0
"Firmicutes bacterium ZCTH02-B6",0,0.00192443160443683,0.00237103615113401
"Acidimicrobiia bacterium",0.000698322117569706,0.00192826667302023,0.000859548481950489
"Litorilinea aerophila",0.00322296114559778,0,0.000183885569826373
"Bacteroidetes bacterium",0,0.000532712332169918,0.00175151682122256
"Luteitalea sp.",0,0,0.00144193102923745
"Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_62_17",0,0.000106345677056169,0.000748836109859053
"Flavihumibacter sp. ZG627",0,0,0.000275380010865322
"Methanoculleus bourgensis",0,0.000122206978384153,0
"Ahniella affigens",0,0,0
"Bacillus abyssalis",0,0,0
"Brevefilum fermentans",0,0,0
"Methanobrevibacter thaueri",0,0,0
"Myxococcales bacterium SG8_38",0,0,0
"Sandaracinus sp.",0,0,0
"Thermaerobacter sp. FW80",0,0,0
"Thermicanus aegyptius",0,0,0
"Tumebacillus avium",0,0,0
