"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Nocardioidaceae",0,0.0197371901106031,0.466520367415845,0.638216166684489,0.579760616377648,0.00316551916369071,0.523941872605693,0.858404594604135,0.311702129731341,0.00136415085451806
"norank",0.392159261899118,0.194996360539262,0.442245157111999,0.326593286104051,0.130314301779365,0.0621192422560941,0.371192604206846,0.106404591005658,0.0125862412203792,0.397756172194221
"Bacillaceae",0,0.000506502390769232,0.0179593085450578,0.00761124400403154,0.000455611340772146,0.796902400836864,0.0767263319964097,0.00307425611766815,0.512431378332955,0.0684414164399015
"Dietziaceae",0.0324422263306842,0.124253547711474,0.00237856878894251,0,0.0492857999424968,0.0771242376988385,0.0172938853769046,0,0.0835641968768529,0.323361959439934
"Corynebacteriaceae",0.0591844926933745,0.31794849708689,0.00163066688598509,0,0.0622830560600388,0.0393530635362297,0.00620166989104925,0,0.0208652552980178,0.130732639187422
"Hungateiclostridiaceae",0.418080446812864,0.0888549252252848,0,0,0.00140518087029826,0.000298546065049189,0,0,0,0.0181126097715009
"Archangiaceae",0,0.0702608363960928,0.0656509165687353,0.0235768324055437,0.129206580033795,0.00219674369673623,0,0.00115960925336398,0.0146466946202823,0.00139519454473281
"Intrasporangiaceae",0.000581165412764958,0.141694627769099,0.00178642574163564,0.00400247080188488,0.0372102947705656,0.00424499506204072,0.00464363592309814,0.0309569490191751,0.0139712436330448,0.00474907722630837
"Carnobacteriaceae",0.074454755418199,0.00793206784371062,0.000494042879845627,0,0.00430235085865126,0.00800403601580008,0,0,0.00509698216288746,0.0233963639470459
"Clostridiaceae",0.0102431738184405,0.0233148438571022,0.00133454606195369,0,0.003926357731639,0.00452902108128653,0,0,0.025135878124239,0.0153772051311711
"Aerococcaceae",0.0128544776145552,0.0105006010697124,0,0,0.00184985023473036,0.00206219458737048,0,0,0,0.0153132112632447
