"BR_1"	"BR_2"	"BR_3"	"BRC1_1"	"BRC1_2"	"BRC1_3"	"BRC17_1"	"BRC17_2"	"BRC17_3"	"BRC30_1"	"BRC30_2"	"BRC30_3"	"BRC5_1"	"BRC5_2"	"BRC5_3"	"PC1_1"	"PC1_2"	"PC1_3"	"PC17_1"	"PC17_2"	"PC17_3"	"PC30_1"	"PC30_2"	"PC30_3"	"PC5_1"	"PC5_2"	"PC5_3"	"PM_1"	"PM_2"	"PM_3"
"BR_1"	0	0.206805758261552	0.212604037682045	0.0961538560693031	0.100730777395733	0.0990565562813299	0.140365858237382	0.14484669057033	0.147759104240127	0.13756024773735	0.131270301520169	0.128806766681953	0.158116560824436	0.153502314844441	0.144885248165147	0.161649993089483	0.161959816061901	0.161714436275491	0.155054545849702	0.154364620280271	0.15806374253229	0.109548881947566	0.113608291025082	0.108936439317721	0.224222203506636	0.22141786390318	0.221328364609206	0.156887294628873	0.173625899478806	0.161113952900829
"BR_2"	0.206805758261552	0	0.0122321635977856	0.203462176290778	0.206869081240006	0.186985998270643	0.200792227231923	0.196413769161221	0.202076871417098	0.204443717756403	0.203102615751744	0.213653284378952	0.207892981034998	0.208306185406531	0.203216979909099	0.131566250617948	0.134225392765946	0.132619462681145	0.175872852216685	0.174516243517014	0.171788061515399	0.220863435204746	0.225894316357079	0.219773548731638	0.18805436648212	0.175609044282895	0.1860174001356	0.131782807661865	0.129392113042064	0.12555868469794
"BR_3"	0.212604037682045	0.0122321635977856	0	0.21162478807904	0.21500203950489	0.195222657104374	0.206210286549336	0.202607701443819	0.208294881999954	0.214724382748956	0.213368399217024	0.223873228016607	0.213902687982486	0.213124415504067	0.209300029387848	0.132055802701491	0.134727228157361	0.133115007811602	0.186802976494172	0.185445121762278	0.182747209153553	0.227914038387128	0.23336510769918	0.227677616682682	0.194988723072567	0.182479010868462	0.192592400073205	0.135897940361866	0.133529036199997	0.129641000421618
"BRC1_1"	0.0961538560693031	0.203462176290778	0.21162478807904	0	0.00782137904177479	0.0194236642920589	0.117945247340284	0.123758338469891	0.12577917169544	0.118823344878277	0.11457716269281	0.112523073957366	0.131238970371976	0.127272107901787	0.117529420983542	0.137800754461295	0.139008936842689	0.13654340893474	0.1183562896654	0.117648584904384	0.121362176106367	0.0852647126226415	0.0820056243239187	0.0843334104154961	0.190697354324131	0.186756309447081	0.188012221029939	0.112474225949632	0.128256849337113	0.113854088181499
"BRC1_2"	0.100730777395733	0.206869081240006	0.21500203950489	0.00782137904177479	0	0.0242574842231924	0.121105015472716	0.126905483388585	0.128917085480259	0.121134037385072	0.115701175638061	0.11437578406085	0.134494721069856	0.13054376455441	0.120828598683775	0.142709382450492	0.14434562221314	0.141727060805824	0.123219857085476	0.122517429928353	0.126228278318	0.0906342389871808	0.0873533098141201	0.0897098175362162	0.193965957272961	0.191075917345971	0.191141736711352	0.117230323767646	0.132889993544889	0.118606973968453
"BRC1_3"	0.0990565562813299	0.186985998270643	0.195222657104374	0.0194236642920589	0.0242574842231924	0	0.113382559444906	0.119264489178994	0.121316412332613	0.114532802967973	0.109775181379593	0.107725852713519	0.126710463084569	0.122684653716738	0.112814471155356	0.132674701136536	0.132832141361169	0.131379628131786	0.113841565594933	0.113120682770801	0.116879881010551	0.0915107588312937	0.0881575783597822	0.0905679933344372	0.186947515704381	0.182943335002052	0.184213840767668	0.0960477479530557	0.113037925167784	0.100378313331243
"BRC17_1"	0.140365858237382	0.200792227231923	0.206210286549336	0.117945247340284	0.121105015472716	0.113382559444906	0	0.0107014136735605	0.00851923362526458	0.0348454153196454	0.0354606511622351	0.0470530960558776	0.0477375112180066	0.0469484966505988	0.0429573938986815	0.21188998687886	0.21237771774112	0.209762492631179	0.0906683154538728	0.0882765080678839	0.0897305430818265	0.0715327545337628	0.0764201184707992	0.071961948782906	0.108010825189505	0.110987892801234	0.111105505860724	0.142413499821035	0.160808487940376	0.146700398223151
"BRC17_2"	0.14484669057033	0.196413769161221	0.202607701443819	0.123758338469891	0.126905483388585	0.119264489178994	0.0107014136735605	0	0.00724786375789567	0.0377718502187025	0.0378697271822556	0.0483811751912974	0.046847513324173	0.0506421793080393	0.0502886483217632	0.210690065717478	0.211176236708373	0.208546116327623	0.0818595385228336	0.0794505618426567	0.0808807546586193	0.0753432873570997	0.0802298375908929	0.0747527058131144	0.102823053576426	0.105015864247218	0.105066805562676	0.143980377659478	0.162488553382312	0.148287376687303
"BRC17_3"	0.147759104240127	0.202076871417098	0.208294881999954	0.12577917169544	0.128917085480259	0.121316412332613	0.00851923362526458	0.00724786375789567	0	0.037929069531152	0.0385304263904985	0.0491483721285525	0.0461702794721335	0.0473787674472771	0.04709579447134	0.215381258518511	0.215884486687838	0.213253856863515	0.0874006710219135	0.084993042149065	0.0864439617919257	0.075852615057963	0.0807349400343754	0.0778195851668256	0.102228079886176	0.104774071691836	0.104879722289617	0.142861813220049	0.161366469214218	0.147158517153879
"BRC30_1"	0.13756024773735	0.204443717756403	0.214724382748956	0.118823344878277	0.121134037385072	0.114532802967973	0.0348454153196454	0.0377718502187025	0.037929069531152	0	0.0100163203685084	0.0131415310779718	0.0825368800199818	0.0817464555963932	0.0764178399422828	0.210755032480421	0.211227438057342	0.20867302401729	0.0974402534413308	0.0951078279562554	0.0965514026808159	0.077210651914153	0.0812045485602698	0.0793577947132788	0.134565943677786	0.137432604767616	0.137595653346405	0.162058090561002	0.179316593407928	0.165901255970189
"BRC30_2"	0.131270301520169	0.203102615751744	0.213368399217024	0.11457716269281	0.115701175638061	0.109775181379593	0.0354606511622351	0.0378697271822556	0.0385304263904985	0.0100163203685084	0	0.0131235002296943	0.0832743610863294	0.0824836273265486	0.0771547728965977	0.203949976813503	0.204398144070138	0.201845725932251	0.0934847134765075	0.0923244935255724	0.0964143716018417	0.0737840336216405	0.0780960876185531	0.0762264672198142	0.135677936217698	0.1385360447579	0.138705151223519	0.16157351935501	0.178812968950306	0.165414256548585
"BRC30_3"	0.128806766681953	0.213653284378952	0.223873228016607	0.112523073957366	0.11437578406085	0.107725852713519	0.0470530960558776	0.0483811751912974	0.0491483721285525	0.0131415310779718	0.0131235002296943	0	0.0948867333572834	0.0940860220059293	0.0887194789313881	0.211865724861027	0.212337711964547	0.209806456356527	0.0993905698472233	0.100760632171873	0.104846119753941	0.0709590392843396	0.074818219542307	0.0729375009969344	0.144280191410555	0.147100537911561	0.147284971959226	0.171969428832696	0.189145231820387	0.175758306759145
"BRC5_1"	0.158116560824436	0.207892981034998	0.213902687982486	0.131238970371976	0.134494721069856	0.126710463084569	0.0477375112180066	0.046847513324173	0.0461702794721335	0.0825368800199818	0.0832743610863294	0.0948867333572834	0	0.00843224243331322	0.0155692250121807	0.218175952676138	0.21866930826011	0.216160825003246	0.0900882926343365	0.0876038955274909	0.0891117512973232	0.100502310222905	0.105328561596159	0.0973839940609276	0.071896839702309	0.0802720723832324	0.0679450559617454	0.136850250019765	0.146069001899876	0.147684074320139
"BRC5_2"	0.153502314844441	0.208306185406531	0.213124415504067	0.127272107901787	0.13054376455441	0.122684653716738	0.0469484966505988	0.0506421793080393	0.0473787674472771	0.0817464555963932	0.0824836273265486	0.0940860220059293	0.00843224243331322	0	0.0112406969738025	0.220266869623706	0.220796733059761	0.218262629475115	0.0906496733829854	0.0881692808573501	0.089676962969486	0.0976507398192151	0.102529149849691	0.0947208199456794	0.0778647827054398	0.0853422736312744	0.0729639458553685	0.138998238679109	0.148219749102286	0.149811704145704
"BRC5_3"	0.144885248165147	0.203216979909099	0.209300029387848	0.117529420983542	0.120828598683775	0.112814471155356	0.0429573938986815	0.0502886483217632	0.04709579447134	0.0764178399422828	0.0771547728965977	0.0887194789313881	0.0155692250121807	0.0112406969738025	0	0.213908787620106	0.214417862709318	0.211807508453387	0.0868504954334133	0.0832312947343755	0.0846920962150176	0.0902240242418276	0.095089122985011	0.0870478763568502	0.0870956805667267	0.0831745799961059	0.082239401908914	0.133318269715106	0.142430887965198	0.144067042371439
"PC1_1"	0.161649993089483	0.131566250617948	0.132055802701491	0.137800754461295	0.142709382450492	0.132674701136536	0.21188998687886	0.210690065717478	0.215381258518511	0.210755032480421	0.203949976813503	0.211865724861027	0.218175952676138	0.220266869623706	0.213908787620106	0	0.00871762196188569	0.00580383013318331	0.1807437573672	0.183625876849058	0.183792295325964	0.191056175928909	0.19629637904485	0.191998057350259	0.207656371175313	0.195293510749517	0.20506742951117	0.116815957978601	0.122406486712903	0.114775695449726
"PC1_2"	0.161959816061901	0.134225392765946	0.134727228157361	0.139008936842689	0.14434562221314	0.132832141361169	0.21237771774112	0.211176236708373	0.215884486687838	0.211227438057342	0.204398144070138	0.212337711964547	0.21866930826011	0.220796733059761	0.214417862709318	0.00871762196188569	0	0.00734255861109968	0.18143051231999	0.184323559080803	0.184493159455096	0.190724245416706	0.195836388888134	0.191519459133253	0.20828625099341	0.195873719685413	0.205687417894961	0.117611202919403	0.125648549702507	0.117960517484064
