"sample"	"NMDS1"	"NMDS2"	"Group"
"BR_1"	-0.410797993265531	-0.196401554905684	"BR"
"BR_2"	0.260912456792648	-0.217014155227473	"BR"
"BR_3"	0.281282476042868	-0.194667021919542	"BR"
"BRC1_1"	-0.105040821118391	-0.124489342052908	"BRC1"
"BRC1_2"	-0.120456713554969	-0.133428983911113	"BRC1"
"BRC1_3"	-0.119089817174356	-0.137488779116653	"BRC1"
"BRC17_1"	-0.109907451919756	0.08479286272365	"BRC17"
"BRC17_2"	-0.10447444547737	0.0965217413233694	"BRC17"
"BRC17_3"	-0.133374849888629	0.0612494455123545	"BRC17"
"BRC30_1"	-0.240028652261366	0.0998384283341566	"BRC30"
"BRC30_2"	-0.263289847096873	0.095235174672514	"BRC30"
"BRC30_3"	-0.261819211150549	0.0832569614875674	"BRC30"
"BRC5_1"	-0.00738101064123942	0.0765162794152435	"BRC5"
"BRC5_2"	-0.00724445008178834	0.0696027122292801	"BRC5"
"BRC5_3"	-0.00034960695923752	0.069539275775284	"BRC5"
"PC1_1"	0.127336043360181	-0.0915167912693156	"PC1"
"PC1_2"	0.126276285559527	-0.0844620903550095	"PC1"
"PC1_3"	0.117126072042591	-0.105839090326402	"PC1"
"PC17_1"	0.165566566951871	0.135402943538838	"PC17"
"PC17_2"	0.17103112373769	0.113448721585662	"PC17"
"PC17_3"	0.17726888661785	0.102925833913084	"PC17"
"PC30_1"	0.0593736657139955	0.151982341242801	"PC30"
"PC30_2"	0.0602936409459014	0.137366754679937	"PC30"
"PC30_3"	0.0605715658485774	0.128028141307675	"PC30"
"PC5_1"	0.10516232388707	0.160210680871787	"PC5"
"PC5_2"	0.0788757885193686	0.114249049306479	"PC5"
"PC5_3"	0.083584144119693	0.121138176353157	"PC5"
"PM_1"	0.00672551482557788	-0.197844469039456	"PM"
"PM_2"	0.0010798647142151	-0.205913333087184	"PM"
"PM_3"	0.000788450910430125	-0.212239913062099	"PM"
