"sample"	"PC1"	"PC2"	"Group"
"BR_1"	59.6467648603056	187.356352693516	"BR"
"BR_2"	-286.437806820155	56.2530766004598	"BR"
"BR_3"	-303.688247571396	47.5939730858519	"BR"
"BRC1_1"	120.032962626523	146.725190827622	"BRC1"
"BRC1_2"	137.995897417632	152.656397068711	"BRC1"
"BRC1_3"	87.4202939856917	127.773675089312	"BRC1"
"BRC17_1"	113.210888502823	-56.559696841547	"BRC17"
"BRC17_2"	99.0757183532579	-61.5809303308842	"BRC17"
"BRC17_3"	105.090629137711	-68.2119970999868	"BRC17"
"BRC30_1"	141.449819659339	-44.1700769799841	"BRC30"
"BRC30_2"	133.200718671267	-33.325544273418	"BRC30"
"BRC30_3"	161.147283415553	-25.4335377428134	"BRC30"
"BRC5_1"	65.5769741963094	-99.7957813625742	"BRC5"
"BRC5_2"	71.9641176670867	-91.7799968460819	"BRC5"
"BRC5_3"	77.7157060661419	-71.8740502801793	"BRC5"
"PC1_1"	-257.430460623462	29.1207481344715	"PC1"
"PC1_2"	-265.061621297986	20.8417773260161	"PC1"
"PC1_3"	-258.414212210827	20.4269286733041	"PC1"
"PC17_1"	20.0027773531859	-26.1401302566487	"PC17"
"PC17_2"	23.4036366826743	-25.9087938013885	"PC17"
"PC17_3"	15.9946400357573	-32.949718117717	"PC17"
"PC30_1"	150.146944291283	63.0451259509929	"PC30"
"PC30_2"	172.015862124104	76.0045786464486	"PC30"
"PC30_3"	153.529425053859	68.345583609381	"PC30"
"PC5_1"	-51.2740007411387	-185.64642791203	"PC5"
"PC5_2"	-69.6485306888102	-176.299620528771	"PC5"
"PC5_3"	-55.3394277957868	-182.40021670601	"PC5"
"PM_1"	-106.016124206923	61.4688082358566	"PM"
"PM_2"	-135.800102005401	51.615339751486	"PM"
"PM_3"	-119.510526138618	72.8489633866093	"PM"
