"Type"	"PC1_1"	"PC1_2"	"PC1_3"	"PC17_1"	"PC17_2"	"PC17_3"	"PC30_1"	"PC30_2"	"PC30_3"
"Dissimilatory nitrate reduction, nitrate to nitrite"	132.534451833333	125.8330855	129.127510333333	34.9773651666667	32.4485523333333	34.0692126666667	43.377182	43.7553308333333	41.5686535
"Dissimilatory nitrate reduction, nitrite to ammonia"	76.8947335	72.942351	75.365729	16.656084	14.475627	14.971467	30.5479635	31.7635745	31.805396
"Assimilatory nitrate reduction, nitrate to nitrite"	0.020642	0.024332	0	0.446804	0.233136	0.162685	0.497609	0.471784	0.292712
"Assimilatory nitrate reduction, nitrite to ammonia"	11.082774	10.841114	11.480426	14.227002	14.140809	14.511471	3.64751	6.036238	5.294402
"Denitrification, nitrite to nitric oxide"	132.003247	138.865201	135.756624	221.64688	219.219912	218.746668	281.449915	282.256186	268.663797
"Denitrification, nitric oxide to nitrous oxide"	42.723317	44.717912	42.8542725	12.305422	12.65191	12.0116525	10.4161215	10.3767155	10.6643425
"Denitrification, nitrous oxide to nitrogen"	33.057642	33.395439	32.926323	22.962699	23.275198	21.021183	30.875624	33.932283	36.801078
"Nitrogen fixation, nitrogen to ammonia"	0.606142	0.435512666666667	0.588597	0.839147333333333	0.774259333333333	0.869556333333333	0.160002666666667	0.16396	0.173285
"Nitrification, ammonia to hydroxylamine"	0	0	0	0	0	0	0	0	0
"Nitrification, hydroxylamine to nitrite"	0	0	0	0	0	0	0	0	0
"Nitrification, hydroxylamine to ammonia"	182.780267	182.535888	179.270386	75.067261	78.214238	78.211465	56.866991	55.503105	53.622818
"Anammox, ammonia to hydrazine"	0	0	0	0	0	0	0	0	0
"Anammox, hydrazine to nitrogen"	0	0	0	0	0	0	0	0	0
"Nitrogen assimilation, ammonia to organ-N"	544.8104885	530.520176	539.241899	777.636291	785.588677	776.8879325	900.676752	927.101041	909.007221
"Nitrogen mineralization, organ-N to ammonia"	915.65418	917.518766	911.866399	854.593387	845.647571	839.87219	935.525308	939.960311	937.257365
"Ammonia uptake"	96.999606	96.060357	94.493908	27.464702	30.446263	30.379662	62.422287	59.438793	58.692786
"Nitrite uptake"	1.13912475	1.07857275	1.31616375	0.24293275	0.30550275	0.29317825	0.51196075	0.6239655	0.716033
"Nitrate uptake"	1.13912475	1.07857275	1.31616375	0.24293275	0.30550275	0.29317825	0.51196075	0.6239655	0.716033
