"PC1_1"	"PC1_2"	"PC1_3"	"PC17_1"	"PC17_2"	"PC17_3"	"PC30_1"	"PC30_2"	"PC30_3"
"K00260"	209.575533	213.401719	211.551697	131.675917	127.980493	121.643772	59.766321	58.23194	60.187801
"K00261"	9.268436	8.591064	6.78648	165.014097	158.008613	159.742826	119.822507	117.661575	120.820574
"K00262"	223.302145	224.144294	226.754808	150.771973	148.167299	156.77352	184.53091	189.537674	178.708675
"K00265"	53.768938	51.520123	52.553306	107.980219	114.286297	106.310066	134.046167	133.123805	132.950526
"K00266"	112.491561	111.975259	110.549442	134.303297	133.715151	124.039939	150.662273	155.381177	151.214818
"K00362"	4.769545	6.825264	6.514313	12.092079	11.07913	11.825286	35.686452	35.389458	33.14171
"K00363"	5.237677	6.13858	3.32219	10.096158	8.590892	8.818178	21.546357	22.975213	25.264632
"K00366"	11.082774	10.841114	11.480426	14.227002	14.140809	14.511471	3.64751	6.036238	5.294402
"K00367"	0	0.024332	0	0.34134	0.233136	0.141795	0.246946	0.157103	0.130541
"K00368"	128.785069	134.741023	132.662908	221.548354	219.044205	218.68489	281.326349	282.188855	268.501532
"K00370"	129.710731	123.106122	130.549594	36.352901	34.400399	38.277091	51.560823	53.242528	50.419691
"K00371"	110.9898	103.016102	105.518687	28.137288	27.428687	27.712546	41.180047	41.271014	40.010051
"K00372"	0.020642	0	0	0.105464	0	0.02089	0.250663	0.314681	0.162171
"K00374"	81.965751	76.317538	78.362446	22.416852	14.635776	17.137413	28.511267	29.461057	27.241883
"K00376"	33.057642	33.395439	32.926323	22.962699	23.275198	21.021183	30.875624	33.932283	36.801078
"K00549"	264.479528	256.893816	256.054489	126.572533	126.045834	124.76816	167.442585	168.543259	168.816773
"K00926"	88.257788	88.841835	88.630509	106.847241	111.282751	107.081052	142.446705	141.538529	145.126019
"K01455"	41.570457	44.556098	44.17587	41.204566	40.232732	38.867494	64.642139	60.782021	58.713135
"K01501"	5.602839	5.081702	4.553179	8.512977	6.451529	6.621202	19.784478	18.146051	19.008973
"K01725"	21.663347	20.654888	20.214168	5.963646	6.036934	5.289503	2.637149	4.238194	5.213562
"K01915"	461.680239	448.772485	457.690525	656.494533	661.587953	661.71293	758.322532	782.84855	766.924549
"K02305"	3.445828	4.556467	3.415672	1.285719	2.701449	1.972092	1.074889	1.627204	0.68168
"K02567"	43.435386	44.790517	43.208904	6.445643	7.345325	7.229365	3.039762	3.050786	2.604157
"K02568"	6.522663	5.249146	5.425632	5.57106	6.575205	5.491027	2.879844	1.810143	2.0854
"K02575"	96.999606	96.060357	94.493908	27.464702	30.446263	30.379662	62.422287	59.438793	58.692786
"K02588"	1.818426	1.306538	1.765791	2.517442	2.322778	2.608669	0.480008	0.49188	0.519855
"K03385"	79.749999	76.319188	79.042337	6.003181	5.975972	5.436412	2.045992	3.44135	3.299644
"K04561"	82.000806	84.879357	82.292873	23.325125	22.602371	22.051213	19.757354	19.126227	20.647005
"K05601"	179.562089	178.41171	176.17667	74.968735	78.038531	78.149687	56.743425	55.435774	53.460553
"K10535"	0	0	0	0	0	0	0	0	0
"K10946"	0	0	0	0	0	0	0	0	0
"K15371"	51.934107	55.35335	53.145199	118.030437	121.441386	119.084661	174.452514	181.281068	180.661853
"K15576"	0.455069	0.281373	0.543716	0.241501	0.735581	0.707695	0.979253	1.028942	1.458851
"K15577"	3.562857	3.475952	4.086058	0.696814	0.386719	0.33207	0.821997	1.026277	1.064701
"K15578"	0.538573	0.556966	0.634881	0.033416	0.099711	0.132948	0.246593	0.440643	0.34058
"K15864"	3.218178	4.124178	3.093716	0.098526	0.175707	0.061778	0.123566	0.067331	0.162265
"K15876"	64.032246	56.60167	61.852618	5.12075	3.30526	3.863058	1.817126	1.721128	1.904806
