"Group"	"Nitrate uptake"	"Nitrite uptake"	"Ammonia uptake"	"Nitrogen mineralization, organ-N to ammonia"	"Nitrogen assimilation, ammonia to organ-N"	"Nitrification, hydroxylamine to ammonia"	"Nitrification, hydroxylamine to nitrite"	"Nitrification, ammonia to hydroxylamine"	"Nitrogen fixation, nitrogen to ammonia"	"Denitrification, nitrous oxide to nitrogen"	"Denitrification, nitric oxide to nitrous oxide"	"Denitrification, nitrite to nitric oxide"	"Assimilatory nitrate reduction, nitrite to ammonia"	"Assimilatory nitrate reduction, nitrate to nitrite"	"Dissimilatory nitrate reduction, nitrite to ammonia"	"Dissimilatory nitrate reduction, nitrate to nitrite"
"BR"	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1
"BRC1"	3.15421746283518	3.15421746283518	1.68961252533327	1.02508319163259	1.36628053613816	0.458039942541679	0.473886423309571	0	0.366995096706961	0.406914829998074	0.514264212888517	1.69821916151358	Inf	0.598625082571617	0.940086546091571	1.92585851476903
"BRC17"	1.20775307544859	1.20775307544859	0.797789039631979	0.915607900864096	1.19882841912301	0.0842172371092457	0.0806600374019809	0	0.0484922185188244	0.834044092398531	0.240296706241931	2.38359846439762	Inf	2.41450094743074	0.871352332640774	1.05728246018116
"BRC30"	3.19697972384992	3.19697972384992	0.758588224401194	0.972581360682636	1.23081905785713	0.03837616559178	0.010743066889686	0	0.0249781786606588	0.839169564815611	0.426789452411289	2.69605158159383	Inf	7.33125275714916	1.23494711154704	0.933706915458625
"BRC5"	0.511598133510673	0.511598133510673	0.921420849234916	0.822573771412732	1.20009468145187	0.15852671390626	0	0	0.0414966982012337	0.707913753261432	0.175077174948635	1.92578830042241	Inf	0.319635016308609	0.789127441683991	1.11967399314832
"PC1"	0.521663580208187	0.521663580208187	1.52105633065173	1.05143104746915	0.772632607528259	0.704978355652234	0	0	0.135233407659671	0.472140478036977	0.452887360181581	1.1668244345978	Inf	0.0128497436565569	1.82796522714607	1.9395465334139
"PC17"	0.12423782681831	0.12423782681831	0.467025593042914	0.972938268719714	1.11983045735921	0.299672351075936	0	0	0.205967921670302	0.319540396755924	0.128498571370853	1.89278319394333	Inf	0.240750550286972	0.374218265461083	0.508018177415495
"PC30"	0.273383594999568	0.273383594999568	0.955064871663453	1.07736353845545	1.30965271516029	0.214881203907026	0	0	0.0412479237341598	0.482732969003839	0.109340374905523	2.38851365173586	Inf	0.360602252805149	0.763944641560181	0.644193783923848
"PC5"	0.147079550914755	0.147079550914755	0.455267528334139	0.820030276658745	0.945358340832661	0.151148373850407	0	0	0.0173429012190612	0.427236014867412	0.232168468680677	2.01507073759791	Inf	0.11745655418641	0.41903994046817	0.734461367325188
"PM"	2.28282852699538	2.28282852699538	1.67927982805794	0.885939151685446	1.09549014148544	0.919344705517626	0.0596031066819018	0	0.5534809664306	0.341332128926061	0.533118952180868	1.12024865085276	Inf	0.0356803672694109	1.01082643523855	1.81459417919197
