"","PC1","PC17","PC30"
"Phyllobacteriaceae",0.0137557658241286,0.565580579444402,0.853293814004364
"Actinomycetaceae",0.260005043186243,0.0144903603610006,0
"Dietziaceae",0.173195148219425,0.0686603837293579,0
"norank",0.0372312998065571,0.133220539795258,0.067464715320438
"Mycobacteriaceae",0.0868698337333024,0.0503709407948196,0.0545630083903724
"Pseudomonadaceae",0.0969805620028964,0.0588411864475512,0
"Microbacteriaceae",0.131685017255031,0.0143930909150198,0.000991124240335649
"Myxococcaceae",0.0082847688984803,0.0881778185807775,0.0236873380444899
"Frankiaceae",0.0821730609650594,0,0
"Bacteriovoracaceae",0.0582006327976419,0,0
"Propionibacteriaceae",0.0238136175988186,0.00626509993181384,0
"Demequinaceae",0.0116534724419751,0,0
"Caulobacteraceae",0.00904477797078302,0,0
"Peptococcaceae",0.00710699929965807,0,0
"Rhizobiaceae",0,0,0
