"","PC1","PC17","PC30"
"Chelativorans",0.0137557658241286,0.565580579444402,0.853293814004364
"Flaviflexus",0.260005043186243,0.0144903603610006,0
"Dietzia",0.173195148219425,0.0686603837293579,0
"norank",0,0.133220539795258,0.0653764074237381
"Mycolicibacterium",0.0868698337333024,0.0503709407948196,0.0545630083903724
"Pseudomonas",0.0969805620028964,0.0588411864475512,0
"Protaetiibacter",0.131685017255031,0.0143930909150198,0.000991124240335649
"Myxococcus",0.0082847688984803,0.0881778185807775,0.0236873380444899
"Frankia",0.0821730609650594,0,0
"Bacteriovorax",0.0582006327976419,0,0
"Natronospirillum",0.0372312998065571,0,0.00208830789669993
"Tessaracoccus",0.0238136175988186,0.00626509993181384,0
"Demequina",0.0116534724419751,0,0
"Phenylobacterium",0.00904477797078302,0,0
"Desulfitobacterium",0.00710699929965807,0,0
"Rhizobium",0,0,0
