"","PC1","PC17","PC30"
"Rhizobiales",0.0137557658241286,0.565580579444402,0.853293814004364
"Corynebacteriales",0.260064981952727,0.119031324524178,0.0545630083903724
"Actinomycetales",0.260005043186243,0.0144903603610006,0
"norank",0.0372312998065571,0.133220539795258,0.067464715320438
"Micrococcales",0.143338489697006,0.0143930909150198,0.000991124240335649
"Pseudomonadales",0.0969805620028964,0.0588411864475512,0
"Myxococcales",0.0082847688984803,0.0881778185807775,0.0236873380444899
"Frankiales",0.0821730609650594,0,0
"Bacteriovoracales",0.0582006327976419,0,0
"Propionibacteriales",0.0238136175988186,0.00626509993181384,0
"Caulobacterales",0.00904477797078302,0,0
"Clostridiales",0.00710699929965807,0,0
