"","PC1","PC17","PC30"
"Chelativorans sp. BNC1",0.0137557658241286,0.565580579444402,0.853293814004364
"Flaviflexus sp. H23T48",0.260005043186243,0.0144903603610006,0
"Dietzia papillomatosis",0.173195148219425,0.0686603837293579,0
"Mycolicibacterium phlei",0.0868698337333024,0.0503709407948196,0.0545630083903724
"Pseudomonas sp. TC-11",0.0969805620028964,0.0588411864475512,0
"Protaetiibacter intestinalis",0.131685017255031,0.0143930909150198,0.000991124240335649
"Myxococcus sp. AB036A",0.0082847688984803,0.0881778185807775,0.0236873380444899
"Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_59_12",0,0.0915500582989581,0.00760876064810724
"Bacteroidetes bacterium",0,0.0416704814962995,0.0297816945357497
"Frankia sp. EAN1pec",0.058756741413568,0,0
"Bacteriovorax stolpii",0.0582006327976419,0,0
"Natronospirillum operossus",0.0372312998065571,0,0.00208830789669993
"Tessaracoccus massiliensis",0.0238136175988186,0.00626509993181384,0
"Acidobacteria bacterium",0,0,0.0279859522398811
"Frankia sp. Ea1.12",0.0234163195514914,0,0
"Demequina sp. NBRC 110051",0.0116534724419751,0,0
"Phenylobacterium sp. Root77",0.00904477797078302,0,0
"Desulfitobacterium dehalogenans",0.00710699929965807,0,0
"Rhizobium taibaishanense",0,0,0
