"","PC1","PC17","PC30"
"norank",0.0188988930381452,0.62465816930592,0.71003678034812
"Bacillaceae",0.629242290237889,0.0454921241524663,0.00462344987799534
"Geminicoccaceae",0.0349632581940502,0.12822049960355,0.049676581059846
"Mycobacteriaceae",0.0266923010393553,0.07701282635249,0.104034924719613
"Corynebacteriaceae",0.121229499411125,0.00891901746232346,0
"Intrasporangiaceae",0.0229128205206822,0.0292989053431962,0.0602429800176211
"Bogoriellaceae",0.0206051542220702,0.0203053157347851,0.0298756136143407
"Cellulomonadaceae",0.0109829172458642,0.0302043433498703,0.0223125605763522
"Nocardiaceae",0.00422842377841975,0.0245252307682258,0.00815423169270758
"Microbacteriaceae",0.0259033021570611,0.00477607221105979,0.00273925348695365
"Propionibacteriaceae",0.0171508461702148,0.00316017876095038,0
"Micrococcaceae",0.0146045170782189,0.00172178589755384,0
"Rhizobiaceae",0.0121911569526502,0.000757596367177313,0.00215941638915963
"Nocardioidaceae",0.0104651047912562,0,0.00376349772331619
"Dermabacteraceae",0.0105028449822878,0,0
"Sphingomonadaceae",0.00872391396931293,0,0
"Rubrobacteraceae",0.00517672991560718,0.000947934690431859,0.00238071049397349
"Pseudomonadaceae",0.00231299996171686,0,0
"Ectothiorhodospiraceae",0.00158796245254477,0,0
"Streptosporangiaceae",0.000858538777306386,0,0
"Rhodobacteraceae",0.00076652510422148,0,0
"Paenibacillaceae",0,0,0
"Phyllobacteriaceae",0,0,0
"Planococcaceae",0,0,0
