"","PC1","PC17","PC30"
"norank",0.0215469982165338,0.62465816930592,0.71003678034812
"Bacillus",0.605575570809477,0.0454921241524663,0.00462344987799534
"Geminicoccus",0.0349632581940502,0.12822049960355,0.049676581059846
"Mycolicibacterium",0.0237942589174269,0.07701282635249,0.101039790729015
"Corynebacterium",0.121229499411125,0.00891901746232346,0
"Georgenia",0.0206051542220702,0.0203053157347851,0.0298756136143407
"Ornithinimicrobium",0.0118349725883784,0.0135910851283714,0.03723901245212
"Actinotalea",0.0105322173904841,0.0164821433975549,0.0159108936670726
"Rhodococcus",0.00422842377841975,0.0245252307682258,0.00815423169270758
"Ornithinicoccus",0.00133747191522963,0.0120383231356081,0.0230039675655011
"Microbacterium",0.0259033021570611,0.00371767634929661,0
"Pseudogracilibacillus",0.0236667194284119,0,0
"Cellulomonas",0.000450699855380014,0.0137221999523154,0.00640166690927969
"Propioniciclava",0.0147713830173527,0.00275879182475568,0
"Janibacter",0.00974037601707419,0.00366949707921671,0
"Nocardioides",0.00920508277440589,0,0.00376349772331619
"Agrobacterium",0.00954305177426166,0.000757596367177313,0.00215941638915963
"Brachybacterium",0.0105028449822878,0,0
"Glutamicibacter",0.00940875205356675,0.000767224669583564,0
"Sphingomonas",0.00872391396931293,0,0
"Rubrobacter",0.00517672991560718,0.000947934690431859,0.00238071049397349
"Enteractinococcus",0.00519576502465217,0.000954561227970279,0
"Mycolicibacter",0.00289804212192835,0,0.00299513399059796
"Agromyces",0,0.00105839586176318,0.00273925348695365
"Tessaracoccus",0.00237946315286219,0.000401386936194694,0
"Thiopseudomonas",0.00231299996171686,0,0
"Thiohalomonas",0.00158796245254477,0,0
"Marmoricola",0.00126002201685029,0,0
"Microbispora",0.000858538777306386,0,0
"Paracoccus",0.00076652510422148,0,0
"Paenibacillus",0,0,0
"Paramesorhizobium",0,0,0
"Sporosarcina",0,0,0
