"","PC1","PC17","PC30"
"norank",0.011225934267212,0.62465816930592,0.71003678034812
"Bacillales",0.629242290237889,0.0454921241524663,0.00462344987799534
"Corynebacteriales",0.1521502242289,0.110457074583039,0.112189156412321
"Micrococcales",0.105511556206184,0.0863064225364653,0.115170407695268
"Rhodospirillales",0.0349632581940502,0.12822049960355,0.049676581059846
"Propionibacteriales",0.027615950961471,0.00316017876095038,0.00376349772331619
"Rhizobiales",0.0198641157235835,0.000757596367177313,0.00215941638915963
"Sphingomonadales",0.00872391396931293,0,0
"Rubrobacterales",0.00517672991560718,0.000947934690431859,0.00238071049397349
"Pseudomonadales",0.00231299996171686,0,0
"Chromatiales",0.00158796245254477,0,0
"Streptosporangiales",0.000858538777306386,0,0
"Rhodobacterales",0.00076652510422148,0,0
