"","PC1","PC17","PC30"
"Acidobacteria bacterium",0.00142556784775047,0.350391161112669,0.371859986981819
"Bacillus dakarensis",0.605575570809477,0.0454921241524663,0.00462344987799534
"Gammaproteobacteria bacterium",0,0.254440842095859,0.300940643052368
"Geminicoccus roseus",0.0349632581940502,0.12822049960355,0.049676581059846
"Mycolicibacterium phlei",0.02008160355506,0.0210200944747911,0.0740024819820376
"Corynebacterium sp. HMSC11E11",0.0796068700646849,0.00821860565982955,0
"Mycolicibacterium thermoresistibile",0.00371265536236694,0.0559927318776989,0.0270373087469778
"Georgenia satyanarayanai",0.0206051542220702,0.0203053157347851,0.0298756136143407
"Alphaproteobacteria bacterium",0.00213587124567074,0.0189378136077327,0.0372361503139338
"Ornithinimicrobium humiphilum",0.00384151495961555,0.012855086365023,0.03723901245212
"Rhodococcus pyridinivorans",0.00422842377841975,0.0245252307682258,0.00815423169270758
"Ornithinicoccus hortensis",0.00133747191522963,0.0120383231356081,0.0230039675655011
"Corynebacterium pollutisoli",0.0348007358368462,0.000700411802493915,0
"Actinotalea fermentans",0.00576270892682312,0.00806434515206195,0.0146987112727961
"Pseudogracilibacillus auburnensis",0.0236667194284119,0,0
"Microbacterium oxydans",0.0172877328772061,0.00371767634929661,0
"Cellulomonas hominis",0.000450699855380014,0.0137221999523154,0.00640166690927969
"Propioniciclava sinopodophylli",0.0147713830173527,0.00275879182475568,0
"Actinotalea ferrariae",0.00476950846366102,0.00841779824549298,0.00121218239427649
"Janibacter sp. Soil728",0.00974037601707419,0.00366949707921671,0
"Agrobacterium tumefaciens",0.00954305177426166,0.000757596367177313,0.00215941638915963
"Glutamicibacter creatinolyticus",0.00940875205356675,0.000767224669583564,0
"Nocardioides bacterium",0.0049665878476883,0,0.00376349772331619
"Ornithinimicrobium sp. AMA3305",0.00799345762876283,0.000735998763348391,0
"Sphingomonas sp. MAH-20",0.00872391396931293,0,0
"Microbacterium sp. 70-16",0.00861556927985498,0,0
"Chloroflexi bacterium",0.00766449517379076,0.000888352489659062,0
"Rubrobacter xylanophilus",0.00517672991560718,0.000947934690431859,0.00238071049397349
"Rhizobiales bacterium",0.00767295877093324,0,0
"Corynebacterium efficiens",0.00682189350959418,0,0
"Enteractinococcus coprophilus",0.00519576502465217,0.000954561227970279,0
"Brachybacterium sp. EE-P12",0.00608873307637214,0,0
"Mycolicibacter kumamotonensis",0.00289804212192835,0,0.00299513399059796
"Brachybacterium paraconglomeratum",0.00441411190591563,0,0
"Nocardioides silvaticus",0.0042384949267176,0,0
"Agromyces sp. NEAU-184",0,0.00105839586176318,0.00273925348695365
"Tessaracoccus sp. ZS01",0.00237946315286219,0.000401386936194694,0
"Rhizobiaceae bacterium",0.00264810517838857,0,0
"Thiopseudomonas denitrificans",0.00231299996171686,0,0
"Thiohalomonas denitrificans",0.00158796245254477,0,0
"Marmoricola pocheonensis",0.00126002201685029,0,0
"Microbispora sp. GMKU363",0.000858538777306386,0,0
"Paracoccus solventivorans",0.00076652510422148,0,0
"Microbacterium radiodurans",0,0,0
"Nocardioides solisilvae",0,0,0
"Paenibacillus barengoltzii",0,0,0
"Paramesorhizobium deserti",0,0,0
"Sporosarcina koreensis",0,0,0
