"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Puniceicoccaceae bacterium 5H",0.00262716605492274,0.0946471307347271,0.175411799216022,0.143465151612822,0.411083573676921,0.618106994847467,0.518452797587556,0.22758115850239,0.415427469657529,0.254983884933452
"Balneolaceae bacterium",0.00233524867982354,0.00565580720828566,0.694522296973619,0.515050653041529,0.56411998199985,0.0135671072245421,0.165729999556,0.156185061287997,0.189632707256891,0
"Opitutus terrae",0,0.00115866987934138,0.0344958460122112,0.030564767696542,0.00362961590931319,0.00495592163159439,0.240740756723457,0.547246423284868,0.352373042840153,0
"Thiopseudomonas denitrificans",0.851585011090512,0.158599552340064,0,0,0.00038817991376037,0.0739260673159662,0,0,0,0.123133051430373
"Bacteroidetes bacterium 37-13",0.0688250984995339,0.0292594272553171,0,0,0,0.0379443559239632,0,0,0,0.586880907466841
"Chloroflexi bacterium",0.0118431113912265,0.493090725735614,0.00221459730673839,0.0047355028994514,0.00208323370206193,0.0486243686154581,0.0148552958396061,0,0,0.00414270639104941
"bacterium HR26",0.00545570271250131,0.214331069988266,0.00210903290806124,0.00108113227660914,0.0173075137320358,0.202875184441009,0.0399837705101808,0.0168552572108043,0.00901250187650461,0.0308594497782858
"Bacteroidetes bacterium",0,0.00325761685838365,0.0908469393164749,0.305102792473046,0.0013879010660576,0,0.0202373797831996,0.0521320997139402,0.0335542783689219,0
"uncultured bacterium",0.0310940777804453,0,0.000399488266873797,0,0,0,0,0,0,0
"Aequorivita sp. S1-10",0.0262345837910348,0,0,0,0,0,0,0,0,0
