"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Gammaproteobacteria",0.766428103306271,0.590314006419598,0.747994716357459,0.879082336140367,0.822402977723343,0.608461924904843,0.917814908130181,0.95154827634424,0.978650462924742,0.681762240707318
"Betaproteobacteria",0.0304247590876843,0.238858911689101,0.0998851133191523,0.0643626838450888,0.0681136277224412,0.109521384512972,0.0162017376262037,0,0.00149745245319787,0.157745775720766
"Bacteroidia",0.190114497457305,0.0775419120011547,0,0,0.0100874318118459,0.139160468615233,0.00206399906077845,0,0.00208513195832223,0.126403821554914
"norank",0.00309896912512821,0,0.0744363316004115,0.0409493459673094,0.0109340214245149,0.0759239705690862,0.0496491793032095,0.0484517236557602,0.0121857061746042,0
"Verrucomicrobiae",0.000199078610104224,0,0.0750403820550439,0.0144959998377726,0.031483278600587,0,0.00417398637089589,0,0,0
"Actinobacteria",0.00382912461777043,0.0344789577757383,0.00264345666793301,0,0.0211419980304967,0.0418736014363922,0,0,0.00118401972369744,0.015861364961616
"Alphaproteobacteria",0.00332198861360497,0.0169074658894813,0,0.00110963420946185,0.0124515084808975,0.025058649961473,0.0100961895087316,0,0.00439722676543668,0
"Oligoflexia",0.0010215315575762,0.0143540826096535,0,0,0.0193490410282588,0,0,0,0,0.0139405165061281
"Clostridia",0.00156194762455572,0.0142074453679978,0,0,0.00403611517761459,0,0,0,0,0.00428628054925747
"Deltaproteobacteria",0,0.0133372182472761,0,0,0,0,0,0,0,0
