"","PC1","PC17","PC30"
"Steroidobacter",0.00583196405679908,0.919713195301469,0.95149027515723
"Pseudomonas",0.590214839544243,0,0
"Candidatus Methylomirabilis",0.197936102718932,0.0431119299032133,0.0339378511210497
"Tessaracoccus",0.0858620974769535,0,0
"Filomicrobium",0.0653286633403685,0.0101170711340501,0
"Noviherbaspirillum",0.054826332862704,0.0162352471610958,0
"norank",0,0.0108225565001722,0.0145718737217207
"Castellaniella",0,0,0
"Dethiobacter",0,0,0
"Halobacteriovorax",0,0,0
"Pseudofulvimonas",0,0,0
"Pusillimonas",0,0,0
"Sorangium",0,0,0
"Thiopseudomonas",0,0,0
