"","PC1","PC17","PC30"
"Nevskiales",0.00583196405679908,0.919713195301469,0.95149027515723
"Pseudomonadales",0.590214839544243,0,0
"norank",0.197936102718932,0.0497518671101969,0.0485097248427704
"Propionibacteriales",0.0858620974769535,0,0
"Rhizobiales",0.0653286633403685,0.0101170711340501,0
"Burkholderiales",0.054826332862704,0.0162352471610958,0
"Verrucomicrobiales",0,0.00418261929318863,0
"Bacteriovoracales",0,0,0
"Clostridiales",0,0,0
"Myxococcales",0,0,0
"Xanthomonadales",0,0,0
