"","PC1","PC17","PC30"
"Steroidobacter sp. YU21-B",0.00583196405679908,0.919713195301469,0.95149027515723
"Pseudomonas formosensis",0.524977598240036,0,0
"Candidatus Methylomirabilis oxyfera",0.197936102718932,0.0431119299032133,0.0339378511210497
"Tessaracoccus oleiagri",0.0858620974769535,0,0
"Filomicrobium insigne",0.0653286633403685,0.0101170711340501,0
"Pseudomonas sp. MYb185",0.065237241304207,0,0
"Noviherbaspirillum sp. Root189",0.0393155088745477,0,0
"Noviherbaspirillum denitrificans",0.0155108239881564,0.0162352471610958,0
"Planctomycetes bacterium Pla85_3_4",0,0.0066399372069836,0.0145718737217207
"Verrucomicrobiaceae bacterium",0,0.00418261929318863,0
"Castellaniella defragrans",0,0,0
"Dethiobacter alkaliphilus",0,0,0
"Halobacteriovorax sp.",0,0,0
"Pseudofulvimonas gallinarii",0,0,0
"Pusillimonas sp. ye3",0,0,0
"Sorangium cellulosum",0,0,0
"Thiopseudomonas denitrificans",0,0,0
