"","PC1","PC17","PC30"
"Thermomicrobia",0.0699911162507515,0.388743761304705,0.411415925721466
"Actinobacteria",0.326484485987034,0.198487525579101,0.0689167501008125
"norank",0.00494690385596413,0.109595286016993,0.358816486160768
"Gemmatimonadetes",0.193989301208879,0.104636301353259,0.0108087052734516
"Alphaproteobacteria",0.200614459323023,0.0176933378172165,0.00207124546081602
"Nitriliruptoria",0,0.0561711674588196,0.0870751405301566
"Gammaproteobacteria",0.0472591633873804,0.0211930244936997,0.040370020576597
"Betaproteobacteria",0.0522880759917953,0.0504279736179345,0.00304653041596549
"Acidimicrobiia",0.0208712796640854,0.0482273479565858,0.00157025025746234
"Flavobacteriia",0.0358657975228465,0,0
"Bacilli",0.0341728646559951,0.00120992814631287,0.000322131596518891
"Anaerolineae",0.0135165521522457,0.0036143462553738,0.0155868139059854
