"","PC1","PC17","PC30"
"Sphaerobacteraceae",0.0699911162507515,0.388743761304705,0.411415925721466
"norank",0.0453202042751767,0.307725606148264,0.444709560911692
"Gemmatimonadaceae",0.193989301208879,0.104636301353259,0.0108087052734516
"Corynebacteriaceae",0.150143020704497,0.00176410206985603,0
"Egibacteraceae",0,0.0561711674588196,0.0835875623577246
"Rhizobiaceae",0.120609660056187,0.0151300517427677,0.00148772202300134
"Oxalobacteraceae",0.0367954427387476,0.043575105046519,0.00152856085708094
"Acidimicrobiaceae",0.0208712796640854,0.0482273479565858,0.00157025025746234
"Propionibacteriaceae",0.0679147313240233,0,0
"Salinisphaeraceae",0,0.0166177618850372,0.0398582126947766
"Phyllobacteriaceae",0.0459073486220616,0.00256328607444882,0.000583523437814684
"Microbacteriaceae",0.0465409752297415,0,0
"Flavobacteriaceae",0.0358657975228465,0,0
"Paenibacillaceae",0.0341728646559951,0.00120992814631287,0.000322131596518891
"Pseudomonadaceae",0.022815663479494,0.00457526260866254,0.000511807881820407
"Bradyrhizobiaceae",0.0266251878968277,0,0
"Alteromonadaceae",0.0244434999078864,0,0
"Micrococcaceae",0.0241669464111653,0,0
"Alcaligenaceae",0.0154926332530477,0,0
"Nocardioidaceae",0.0108620640506408,0.00293881515079325,0.000128458814758229
"Caulobacteraceae",0.00747226274794617,0,0
"Zoogloeaceae",0,0.00612150305396968,0
"Euzebyaceae",0,0,0.003487578172432
