"","PC1","PC17","PC30"
"norank",0.0661914839392621,0.372570715989887,0.486138023863931
"Sphaerobacter",0.0699911162507515,0.388743761304705,0.411415925721466
"Gemmatimonas",0.193989301208879,0.104636301353259,0.0108087052734516
"Corynebacterium",0.150143020704497,0.00176410206985603,0
"Egibacter",0,0.0561711674588196,0.0835875623577246
"Janthinobacterium",0.0367954427387476,0.043575105046519,0.00152856085708094
"Sinorhizobium",0.0750539598418795,0.00375274230476579,0.00032260931183908
"Propioniciclava",0.0679147313240233,0,0
"Rhizobium",0.0455557002143077,0.0113773094380019,0.00116511271116226
"Mesorhizobium",0.0459073486220616,0.00256328607444882,0.000583523437814684
"Microbacterium",0.0465409752297415,0,0
"Chryseobacterium",0.0358657975228465,0,0
"Cohnella",0.0341728646559951,0.00120992814631287,0.000322131596518891
"Pseudomonas",0.022815663479494,0.00457526260866254,0.000511807881820407
"Bradyrhizobium",0.0266251878968277,0,0
"Marinobacter",0.0244434999078864,0,0
"Enteractinococcus",0.0241669464111653,0,0
"Paracandidimonas",0.0154926332530477,0,0
"Nocardioides",0.0108620640506408,0.00293881515079325,0.000128458814758229
"Phenylobacterium",0.00747226274794617,0,0
"Azoarcus",0,0.00612150305396968,0
"Euzebya",0,0,0.003487578172432
"Achromobacter",0,0,0
