"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"norank",0.0241225716896418,0.129961515083944,0.384763551153,0.340257569910168,0.208260304018996,0.0185771782657949,0.297513629106624,0.426247072134132,0.0432171308047415,0.00451736940231226
"Sphaerobacterales",0,0.00297051647097903,0.098897081976448,0.0607120737723994,0.108227339496784,0.0408832746184735,0.381226868894589,0.41010962229003,0.588439472500659,0
"Burkholderiales",0.111122193174742,0.158499035494882,0.0130088406227305,0.0079303531174057,0.0132933694887617,0.0733831470945324,0.0434497443462025,0.00303685725338829,0.00902094178586752,0.298915245042099
"Gemmatimonadales",0,0.00770501348979333,0.0309985912101526,0.00966807243872111,0.224253628604709,0.113313207435568,0.102613015328488,0.0107743861139215,0.156775425065007,0.0170040885896836
"Micrococcales",0.180722116621118,0.0723740290497626,0.000757169388871802,0.000267641489464547,0.0243556272392675,0.166386590334139,0.0037511670244626,0.00105159729290673,0.0252078411505317,0.0822892233538971
"Acidimicrobiales",0.00557803930891971,0.108033373670607,0.0982681139922811,0.0218889082817685,0.215921404380616,0.0121913509007167,0.0472948062108401,0.00156526449203301,0.0186580145884275,0.00290705001877739
"Flavobacteriales",0.308302534013502,0.0345562351035347,0,0,0,0.0209499623392756,0,0,0,0.119148804406347
"Anaerolineales",0,0.00573458015160163,0.161585579535667,0.236839542779728,0.0460674095793491,0.00789530076296285,0.00354445792625087,0.0155373235794871,0.00370479887924483,0.00117582660055207
"Alteromonadales",0.0860320735710176,0.0620612288621275,0,0,0.000581834546828037,0.0839415081077578,0,0,0.000533392610666818,0.164497129260178
"Corynebacteriales",0.0410524791866571,0.0367896137941104,0.000956374565097156,9.45778814761929e-05,0.0126084239135076,0.154495083788976,0.00813396583673625,0.000351074445529558,0.0305139810071288,0.088727921761909
"Salinisphaerales",0,0.00140406286481794,0.071826274786558,0.181072568028418,0.0220394655446729,0,0.0162964347265832,0.0397316572632561,0.0157333243728062,0
"Rhizobiales",0.0151828888770127,0.0634543896535718,0.0125235334490534,0.00403237982175557,0.0323486501647854,0.116733893477714,0.0192556506166801,0.00275368174617765,0.0292644527271881,0.0192092264338535
"Egibacterales",0,0.000633609876624113,0.0424373589701885,0.0788398661400236,0.0122833859289796,0,0.0550850210961836,0.0833221600903188,0.0181739910360265,0
"Xanthomonadales",0.0873266626223722,0.0522770180305009,0.00739726062148177,0.00117097023184298,0.00436322918129695,0.00296209690241396,0.00491314148961004,0.00108345613447511,0.0215649474516778,0.0325916371385465
"Propionibacteriales",0.0137220978786642,0.0665270906731771,0.00285571867758248,0,0.0199427520072469,0.0460151735161261,0.00288198913967582,0.000128050939953134,0.0126657482126333,0.0358606495154279
"Thermales",0.0173416758392831,0.113098962956092,0.00782554904009178,0,0.00790235844580008,0,0.00145917042979258,0,0.00147768570261734,0.00873648985882359
"Aeromonadales",0.0590988517163068,0.00709052104961103,0.000481019519407837,0,0,0.0224418526553902,0,0,0.00154346803418096,0.0647022522593782
"Rhodobacterales",0.00794500565868734,0.00717822124445603,0,0,0.00142130652061198,0.0676699502709441,0,0,0.00555435507467393,0.0268897140926226
"Pseudomonadales",0.0276555297076,0.0301607591320268,0.00382411602039033,0.000378854664189471,0.0108916060203982,0.0156802568148887,0.00539126987834938,0.000510182819807832,0.015990017628114,0.00569766448882957
"Euzebyales",0,0.000227510628685674,0.040126009768328,0.0398277738124942,0.0228759156610998,0,0,0.00347650462119291,0,0
"Rhodocyclales",0.000865938359343012,0.0108646624253581,0.017097885976128,0.0131540955447843,0.0111478858012952,0,0.00600313541845972,0,0,0.00116787929329845
"Bacillales",0.000575511905858361,0.018039689469784,0.00138474429194236,0.000227835288566071,0.000847591573117189,0.0199610848500502,0.00118653253047255,0.000321108783390865,0,0.00530221847582493
"Actinomycetales",0.00656502585637378,0.00577302399084235,0,0,0.000366511881877435,0.012154382937278,0,0,0.00196101136780724,0.0182947012978328
"Nevskiales",0.00678880401289973,0,0.00298522643459952,0.0036369167967943,0,0,0,0,0,0
"Caulobacterales",0,0.00458533683310984,0,0,0,0.00436470492699697,0,0,0,0.0023649087098064
