"","PC1","PC17","PC30"
"Sphaerobacter thermophilus",0.0699911162507515,0.388743761304705,0.411415925721466
"bacterium HR41",0.00245079581459683,0.0799565430928882,0.346117775958343
"Gemmatimonas sp.",0.193989301208879,0.104636301353259,0.0108087052734516
"Actinobacteria bacterium",0.0268567482669669,0.193784608358452,0.0687882912860543
"Corynebacterium pollutisoli",0.150143020704497,0.00176410206985603,0
"Egibacter rhizosphaerae",0,0.0561711674588196,0.0835875623577246
"Janthinobacterium sp. 17J80-10",0.0367954427387476,0.043575105046519,0.00152856085708094
"Sinorhizobium sp. RAC02",0.0750539598418795,0.00375274230476579,0.00032260931183908
"Acidimicrobiaceae bacterium",0.0208712796640854,0.0482273479565858,0.00157025025746234
"Propioniciclava sinopodophylli",0.0679147313240233,0,0
"Rhizobium sp. Q54",0.0455557002143077,0.0113773094380019,0.00116511271116226
"Salinisphaeraceae bacterium",0,0.0166177618850372,0.0398582126947766
"Mesorhizobium sp. Root552",0.0459073486220616,0.00256328607444882,0.000583523437814684
"Microbacterium sp. 70-16",0.0465409752297415,0,0
"Chryseobacterium hispalense",0.0358657975228465,0,0
"Cohnella sp. SGD-V74",0.0341728646559951,0.00120992814631287,0.000322131596518891
"Anaerolineales bacterium",0.0135165521522457,0.0036143462553738,0.0155868139059854
"bacterium SCGC AG-212-C10",0.0024961080413673,0.0236373754759378,0.00338791044441006
"Pseudomonas aeruginosa",0.022815663479494,0.00457526260866254,0.000511807881820407
"Bradyrhizobium oligotrophicum",0.0266251878968277,0,0
"Marinobacter nanhaiticus",0.0244434999078864,0,0
"Enteractinococcus helveticum",0.0241669464111653,0,0
"Paracandidimonas soli",0.0154926332530477,0,0
"Nocardioides sp. GY 10127",0.0108620640506408,0.00293881515079325,0.000128458814758229
"Phenylobacterium sp. RIFCSPHIGHO2_01_FULL_69_31",0.00747226274794617,0,0
"Acidobacteria bacterium RIFCSPLOWO2_12_FULL_66_21",0,0.000565799949911203,0.00648273671408737
"bacterium HR26",0,0.00467732732565441,0.00195446154241949
"Azoarcus sp. SY39",0,0.00612150305396968,0
"Euzebya sp. DY32-46",0,0,0.003487578172432
"Burkholderiales bacterium 70-64",0,0.000731365517445895,0.00151796955888455
"Chloroflexi bacterium",0,0.000758240172600998,0.000873601501508188
"Achromobacter arsenitoxydans",0,0,0
