"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Actinobacteria",0.0925257430050783,0.440298043115845,0.265852684594821,0.148528879160622,0.371984168268137,0.516189820971699,0.219756799058104,0.210352978818973,0.127643519663544,0.319673331485339
"Gammaproteobacteria",0.322763100789808,0.0914517600726756,0.106317125534794,0.200285977548602,0.0717330703507452,0.0614572837468604,0.0849763402825884,0.0642099330699421,0.316705070035807,0.15970975874886
"norank",0.0628292114083741,0.158596268257139,0.276851634980253,0.384863415173275,0.129732054616407,0.0356882130114615,0.147529372765255,0.113413117226074,0.0802878042384535,0.00629549769562727
"Limnochordia",0.00308617940392182,0.00127542020817235,0.0508317787241983,0.0189966912596876,0.017021473814969,0.00157162538275783,0.227919566383951,0.181393371614103,0.253299318069155,0.000108005495131808
"Clostridia",0.105492581910635,0.0605221879459788,0.0072952495788146,0.00298603396490064,0.0167284099310245,0.140588538051349,0.0450637434403003,0.0469232396790244,0.0483690811229572,0.225560119569564
"Acidimicrobiia",0.00196243243652466,0.037003686365594,0.0928138173660591,0.0580979993142469,0.0993006877131313,0.00416194190461857,0.136235921336844,0.173474132697725,0.0473846467665294,0.000470902943300013
"Alphaproteobacteria",0.0167029423222814,0.0858580217458836,0.0473440429888742,0.0586166813520518,0.0454580639290385,0.0639527947760848,0.0693449965516384,0.0937600646822565,0.0181469488114447,0.0198106765823185
"Bacilli",0.0429336486763377,0.0293430404747344,0.0206952590599442,0.00919639677492067,0.0141976514710373,0.117559650571902,0.00627162133351463,0.00756982855969772,0.0258511555301287,0.0985943649275812
"Bacteroidia",0.213184926747761,0.0170903406304461,0.0001989160907858,7.08551111050838e-05,0.000633143536489586,0.0191974647770937,0.000221583675900002,0.000169205987846899,0.00107839170978313,0.0536117390449524
"Rubrobacteria",0,0.00027931429794411,0.0442134203276606,0.0377658743274861,0.0851319285538784,0.000761236206159971,0.00929634598304536,0.0262617900399103,0.0173931903619658,0.00016055435637002
"Thermomicrobia",2.3032837033689e-05,0.000613621542432608,0.0213060343536618,0.0260548927778403,0.0152335372993673,0.00176323445625959,0.0336616590575902,0.0604795542794839,0.0424102670015511,0.000610520945984096
"Betaproteobacteria",0.0331037829405671,0.0386345213387202,0.000291620944076839,0.00020238596974231,0.000409229611361604,0.0130767590430236,0.000123335642303329,0.000121436139279918,0.000171512734218128,0.0839321468653595
"Thermoleophilia",0,0.00231261192720155,0.0259720713226827,0.00599712341296385,0.0845859009622277,0.00178249198002794,0.00628870099007377,0.00206086008313,0.0162428599897623,0.000184673832573266
"Nitriliruptoria",4.59627962766911e-05,0.000137708024738255,0.00860364722274183,0.0278606010889663,0.00163672637879638,0,0.00420635101961423,0.0115363526392984,0.00112004536667697,0
"Spirochaetia",0.0402873822068988,0.00596735996181981,0,0,0.000293914464823339,0.00404570881264351,0,0,0,0.00161330999207526
"Flavobacteriia",0.0247198506215337,0.00680946343198333,0,0,0,0.00330574845228592,0,0,0,0.0151877476841578
"Thermoflexia",0,0.000410242228688185,0.00921218780093519,0.00515616048868367,0.0191604437469708,0.00023365997843643,0.00222903795597674,0.00156515662113933,0.0017539764380135,0
"Tepidiformia",0,0.000227442958952167,0.008496787075168,0.004530168838101,0.0216786045434523,0,0.00122682956548359,0.00199771026438157,0.00137743904763961,0
"Deltaproteobacteria",0.0101976184732359,0.00283368626789333,0.00376724494883616,0.00260836806386971,0.000444027077914211,0.000500564098245482,0.0018028420027621,0.00101649744318974,0.000110924491998848,0.000238247932659079
"Planctomycetia",0.000289291275767989,0.000191428822180698,0.0069857043801702,0.00642476513387681,0.00362718942261997,0,0.0018973637655221,0.00333013607804852,0,0
"Cytophagia",0.00476796872895811,0.00830154859086277,0.000705455801532271,0.000203290282978916,0.000406451206219123,0.00048103847656284,0.00191228924529861,0.000334505716557778,5.76013694960324e-05,0.00121265641461278
"Anaerolineae",0.0159998433514174,0.000264372892638118,0,3.90306264648133e-05,0,6.84711956207895e-05,0,0,0,0.000533922910635044
"Methanobacteria",0.00575503933649672,0.00236525896686541,5.95073178897496e-05,0,5.92304917664964e-05,0.00407246801956091,0,0,0.000470964196257914,0.00267986303597942
"Sphingobacteriia",5.63491665614589e-05,0.0026194067142828,0,0.000126133343285896,0,0.00639446405527293,0,3.01283599383681e-05,5.93682733501202e-05,0.00354254782324735
"Oligoflexia",0.000423580013567673,0.00305981852777077,0,0,0.000218485954583419,0.00245399126166717,3.52999442333367e-05,0,0,0.00220612262211643
"Deinococci",0.00167592421932349,0.000223048262054539,0,0,0,0,0,0,0,0.00406328909155611
"Acidobacteriia",0,0.00320445050371872,0,0,0.000263975926628536,0.000692830770404953,0,0,6.59147812669426e-05,0
"Chloroflexia",0,6.5192705197676e-05,0.0010994083559839,0.000841341668015809,0,0,0,0,0,0
"Verrucomicrobiae",0,0,0.0010864012301162,0.00054693431831309,6.16307284116966e-05,0,0,0,0,0
"Calditrichae",0.000674422858353729,4.07332175864446e-05,0,0,0,0,0,0,0,0
"Mollicutes",0.000499184473286035,0,0,0,0,0,0,0,0,0
