"","PC1","PC17","PC30"
"norank",0.0827755659000423,0.311010578989383,0.306212693779145
"Limnochordaceae",0.0025554940040772,0.235971407224337,0.18376422184576
"Corynebacteriaceae",0.365647982845644,0.00382398562178872,0.000374813528619936
"Streptosporangiaceae",0.00348225363952246,0.132618879752934,0.163973320726845
"Mycobacteriaceae",0.133595114923739,0.0302050071745609,0.0204067326131264
"Steroidobacteraceae",0.00285172248864828,0.0781349608720608,0.0628707930009434
"Hyphomicrobiaceae",0.0337800078879111,0.0298333043657019,0.0547901495040366
"Sphaerobacteraceae",0.00286705415310032,0.0348508431432535,0.0612700350120384
"Clostridiaceae",0.00695253969761911,0.0443850420384446,0.0467456133803001
"Pseudomonadaceae",0.0838060527996532,0.00193712770936735,0.000629168061578471
"Microbacteriaceae",0.0784873964094788,0.00126562217961334,0.000119354279998643
"Nocardioidaceae",0.0426248895260632,0.00546366759075571,0.00248538863158039
"Chelatococcaceae",0.00145014186313446,0.0198846196483722,0.0285958465247089
"Rubrobacteraceae",0.000522962745453656,0.00298876984724177,0.0246660679907569
"Phyllobacteriaceae",0.0132725906605982,0.00976782098251351,0.00422159509141406
"Thermomonosporaceae",0.000907200248070279,0.0164563127362704,0.00646873504463054
"Dermabacteraceae",0.0213503626670681,0.000227223640617672,0.00085794751051334
"Rhizobiaceae",0.017052874090762,0.00119802183483989,0.00063526315945837
"Bacillaceae",0,0.00530493283269963,0.00755362581002089
"Intrasporangiaceae",0.0042425939794429,0.00212416085281123,0.00586911604423362
"Sphingobacteriaceae",0.0103975252193131,0,3.05221440579516e-05
"Paenibacillaceae",0.00874140112824271,0.00100819800050019,0.00011514203083506
"Ectothiorhodospiraceae",0.00385239324896805,0.00473513157982496,0.00108106008468344
"Conexibacteraceae",0.00112005046947054,0.006288316750473,0.00208779596596863
"Baekduiaceae",0.000714822404792955,0.00663599330261475,0.00193896927172733
"Alcaligenaceae",0.00895967994327942,0,9.16664064419779e-05
"Frankiaceae",0.00898649390578676,0,0
"Demequinaceae",0.00882238587512836,0,0
"Nocardiopsaceae",0.003944210507701,0.00260241347460441,0.00201557788715218
"Bogoriellaceae",0.007047869091932,0.000362257018661512,0.000197654126792575
"Cellulomonadaceae",0.00567369463914041,0.000685957669975305,8.93186773788895e-05
"Flavobacteriaceae",0.00537521246569602,0,0
"Micromonosporaceae",0,0.00150727034593239,0.00362511861551181
"Bradyrhizobiaceae",0.00381146494300594,0.000487953440204059,0.000740311121688611
"Rhodobacteraceae",0.00476124675055489,0,0
"Thermoflexaceae",0.000379935753416827,0.00230778441523627,0.00158561355352219
"Acidiferrobacteraceae",0.000944739795580549,0.00273033855034316,0.000468149505339568
"Micrococcaceae",0.00262905144785116,0.000419979487219872,0.000506048084147195
"Tepidiformaceae",0,0.00127017045348314,0.00202382076555892
"Propionibacteriaceae",0.00311070753081652,3.38943866311728e-05,0
"Peptococcaceae",0.00306054239053056,0,0
"Bdellovibrionaceae",0.00205426208345311,0,0
"Caulobacteraceae",0.00195278850816078,0,6.6336259375214e-05
"Dietziaceae",0.00189279432333608,0,0
"Salinarimonadaceae",0.00110116554372917,0,0.000132354267330237
"Cytophagaceae",0.000782178091594357,0.000123638327616462,0.000281070989876604
"Acidobacteriaceae",0.00112655655669241,0,0
"Streptomycetaceae",0,0.00072038647878618,0.000280007930158896
"Alteromonadaceae",0.00053202685179816,0.000408613675695942,0
"Pirellulaceae",0,0.000219413604629813,0.000132980772743807
"Burkholderiaceae",0,0,0
"Herpetosiphonaceae",0,0,0
"Rhodanobacteraceae",0,0,0
"Sinobacteraceae",0,0,0
"Sphingomonadaceae",0,0,0
