"","PC1","PC17","PC30"
"norank",0.0862797148672318,0.473148521241971,0.524776478739353
"Limnochorda",0.0025554940040772,0.235971407224337,0.18376422184576
"Corynebacterium",0.365647982845644,0.00382398562178872,0.000374813528619936
"Mycolicibacterium",0.123623775430596,0.0293639419949407,0.0204067326131264
"Steroidobacter",0.00285172248864828,0.0781349608720608,0.0628707930009434
"Sphaerobacter",0.00286705415310032,0.0348508431432535,0.0612700350120384
"Alkaliphilus",0,0.0443850420384446,0.0466765128324113
"Pseudomonas",0.0838060527996532,0.00193712770936735,0.000629168061578471
"Chelatococcus",0.00145014186313446,0.0198846196483722,0.0285958465247089
"Nocardioides",0.0298563931354611,0.00325662906611907,0.00131062099914747
"Rubrobacter",0.000522962745453656,0.00298876984724177,0.0246660679907569
"Youhaiella",0.0265535298401978,0.000794209836843638,0.000319819349963276
"Gryllotalpicola",0.025635447729429,0.000201943359819199,6.96704012171161e-05
"Thermomonospora",0,0.0162118121524816,0.00629417164129877
"Brachybacterium",0.0213503626670681,0.000227223640617672,0.00085794751051334
"Shinella",0.017052874090762,0.00119802183483989,0.00063526315945837
"Aminobacter",0.00483538817940186,0.00776726434526472,0.00265716108659373
"Leucobacter",0.0127827670117525,0.00039169409690028,0
"Hydrogenibacillus",0,0.00530493283269963,0.00755362581002089
"Ornithinicoccus",0.0042425939794429,0.00212416085281123,0.00586911604423362
"Aeromicrobium",0.00893273437850211,0.00189373067911534,0.00117476763243293
"Mesorhizobium",0.0084372024811963,0.00165289308017524,0.00156443400482034
"Microterricola",0.0108386395779844,0.000195554659415653,0
"Mycobacterium",0.00997133949314208,0.00084106517962022,0
"Protaetiibacter",0.0103614908727657,0.000186056888945391,4.96838787815265e-05
"Sphingobacterium",0.0103975252193131,0,3.05221440579516e-05
"Conexibacter",0.00112005046947054,0.006288316750473,0.00208779596596863
"Baekduia",0.000714822404792955,0.00663599330261475,0.00193896927172733
"Frankia",0.00898649390578676,0,0
"Demequina",0.00882238587512836,0,0
"Lysinimonas",0.00827586632334925,4.75002230359799e-05,0
"Georgenia",0.007047869091932,0.000362257018661512,0.000197654126792575
"Clostridium",0.00695253969761911,0,6.9100547888815e-05
"Actinotalea",0.00567369463914041,0.000685957669975305,8.93186773788895e-05
"Leifsonia",0.00545206819136122,0.00018288284353768,0
"Moheibacter",0.00537521246569602,0,0
"Paenibacillus",0.00482291063917989,0.000379959550316191,0.00011514203083506
"Candidatus Macondimonas",0.00161846116643204,0.00286352500431915,0.000795163670132096
"Microbacterium",0.00514111670283673,5.99901079591606e-05,0
"Bradyrhizobium",0.00381146494300594,0.000487953440204059,0.000740311121688611
"Candidimonas",0.00491868419115394,0,0
"Actinoplanes",0,0.00133885588645125,0.00354443938113655
"Paracoccus",0.00476124675055489,0,0
"Marinactinospora",0.000694711932912453,0.00252860148723163,0.00148695561326281
"Thermobacillus",0.00391849048906282,0.000628238450183996,0
"Devosia",0.00417886558020768,5.22840325168964e-05,0.000160936910586602
"Alkalilimnicola",0.00223393208253601,0.00187160657550581,0.000285896414551341
"Pseudorhodoplanes",0.00433992208323103,0,0
"Thermoflexus",0.000379935753416827,0.00230778441523627,0.00158561355352219
"Marmoricola",0.00383576201210001,0.000313307845521296,0
"Sulfurifustis",0.000944739795580549,0.00273033855034316,0.000468149505339568
"Pusillimonas",0.00404099575212548,0,0
"Nocardiopsis",0.00324949857478854,7.38119873727832e-05,0.000528622273889368
"Tepidiforma",0,0.00127017045348314,0.00202382076555892
"Microlunatus",0.00311070753081652,3.38943866311728e-05,0
"Enteractinococcus",0.00213964728124104,0.000419979487219872,0.000506048084147195
"Dehalobacterium",0.00222118311263221,0,0
"Bdellovibrio",0.00205426208345311,0,0
"Phenylobacterium",0.00195278850816078,0,6.6336259375214e-05
"Dietzia",0.00189279432333608,0,0
"Actinomadura",0.000907200248070279,0.000244500583788819,0.000174563403331767
"Salinarimonas",0.00110116554372917,0,0.000132354267330237
"Acidobacterium",0.00112655655669241,0,0
"Streptomyces",0,0.00072038647878618,0.000280007930158896
"Desulfitobacterium",0.000839359277898345,0,0
"Yaniella",0.000489404166610119,0,0
"Pirellula",0,0.000219413604629813,0.000132980772743807
"Phyllobacterium",0,0.000259149274416631,0
"Micromonospora",0,0.000168414459481135,8.06792343752603e-05
"Verticiella",0,0,9.16664064419779e-05
"Aquamicrobium",0,8.85142826569174e-05,0
"Asticcacaulis",0,0,0
"Bacillus",0,0,0
"Burkholderia",0,0,0
"Herpetosiphon",0,0,0
"Pseudofulvimonas",0,0,0
"Sinimarinibacterium",0,0,0
"Sphingosinicella",0,0,0
