"","PC1","PC17","PC30"
"norank",0.066949101588316,0.302025153702337,0.288395138084051
"Corynebacteriales",0.501135892092719,0.0340289927963496,0.0207815461417463
"Limnochordales",0.0025554940040772,0.235971407224337,0.18376422184576
"Streptosporangiales",0.00833366439529374,0.151677605963808,0.172457633658627
"Rhizobiales",0.0814535635221538,0.0637981193933651,0.092005259226354
"Nevskiales",0.00285172248864828,0.0781349608720608,0.0628707930009434
"Micrococcales",0.128253354110042,0.00508520084889893,0.00763943872306426
"Clostridiales",0.0100130820881497,0.0443850420384446,0.0467456133803001
"Sphaerobacterales",0.00286705415310032,0.0348508431432535,0.0612700350120384
"Pseudomonadales",0.0838060527996532,0.00193712770936735,0.000629168061578471
"Propionibacteriales",0.0457355970568797,0.00549756197738689,0.00248538863158039
"Rubrobacterales",0.00123778515024661,0.00962476314985652,0.0266050372624842
"Bacillales",0.00874140112824271,0.00631313083319982,0.00766876784085595
"Nitriliruptorales",0,0.00435495111334938,0.0116871352400296
"Solirubrobacterales",0.00289836726821242,0.00651086541530593,0.00208779596596863
"Sphingobacteriales",0.0103975252193131,0,3.05221440579516e-05
"Chromatiales",0.00385239324896805,0.00473513157982496,0.00108106008468344
"Burkholderiales",0.00895967994327942,0,9.16664064419779e-05
"Frankiales",0.00898649390578676,0,0
"Flavobacteriales",0.00537521246569602,0,0
"Micromonosporales",0,0.00150727034593239,0.00362511861551181
"Planctomycetales",0,0.00174497938220348,0.00324068089734724
"Rhodobacterales",0.00476124675055489,0,0
"Thermoflexales",0.000379935753416827,0.00230778441523627,0.00158561355352219
"Acidiferrobacterales",0.000944739795580549,0.00273033855034316,0.000468149505339568
"Bdellovibrionales",0.00399023840162463,3.65470049273822e-05,0
"Tepidiformales",0,0.00127017045348314,0.00202382076555892
"Caulobacterales",0.00195278850816078,0,6.6336259375214e-05
"Cytophagales",0.000782178091594357,0.000123638327616462,0.000281070989876604
"Pseudonocardiales",0.00112685266179985,0,0
"Acidobacteriales",0.00112655655669241,0,0
"Streptomycetales",0,0.00072038647878618,0.000280007930158896
"Alteromonadales",0.00053202685179816,0.000408613675695942,0
"Pirellulales",0,0.000219413604629813,0.000132980772743807
"Herpetosiphonales",0,0,0
"Myxococcales",0,0,0
"Sphingomonadales",0,0,0
"Verrucomicrobiales",0,0,0
"Xanthomonadales",0,0,0
