"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Actinobacteria",0.0945341382378797,0.480031363731323,0.437455640833966,0.278250477304285,0.64263941187617,0.522895491062506,0.375784118387682,0.423686114279037,0.209784262148478,0.320489462617582
"Proteobacteria",0.403661910954683,0.348850066581962,0.178748188119817,0.312996782995758,0.157503279329281,0.149472680741598,0.179851041295638,0.17082257715412,0.339019052688339,0.267973291852339
"Firmicutes",0.157771286877419,0.0927661778094158,0.0897830124174527,0.0341133648441559,0.0483036947849538,0.25971981400601,0.333743838156174,0.24477408399465,0.383217295733536,0.324761064620283
"norank",0.0270353124833751,0.00496762753341994,0.126295258472404,0.103068715724557,0.0662110456027307,0.00204529875435437,0.0589735123897627,0.0759150426828794,0.0147991719228094,0.000300613699967546
"Bacteroidetes",0.242729095264814,0.0348764368111971,0.00762566176378045,0.0335981298748876,0.00109648464585797,0.0293787157612154,0.00330414475568424,0.00184728392571997,0.00122726285488908,0.0735546909669703
"Chloroflexi",0.0179030353268048,0.00690013484846298,0.0590053431859547,0.0865760177627942,0.0593687904911691,0.00574042654722139,0.0379687198029876,0.0676087847692302,0.0459371970022913,0.00177675454557756
"Acidobacteria",0.00161485339082696,0.021597485918205,0.0784114178736537,0.123038266163101,0.0127991939117783,0.0224262893617817,0.00120088530672354,0.00774845891169173,0.00424205660911701,0.00250180150576419
"Planctomycetes",0.000829311802094817,0.000590784914651352,0.0212114267853521,0.0278113110121475,0.0115689163532799,0.000203106933109186,0.00917373990534795,0.00759765428267169,0.00130273684428149,0.00028585807190571
"Spirochaetes",0.0402873822068988,0.00596735996181981,0,0,0.000293914464823339,0.00404570881264351,0,0,0,0.00161330999207526
"Euryarchaeota",0.00575503933649672,0.00236525896686541,5.95073178897496e-05,0,5.92304917664964e-05,0.00407246801956091,0,0,0.000470964196257914,0.00267986303597942
"Deinococcus-Thermus",0.00167592421932349,0.000223048262054539,0,0,0,0,0,0,0,0.00406328909155611
"Verrucomicrobia",0.00298362310633078,0.000823521443037333,0.0010864012301162,0.00054693431831309,0.00015603804818864,0,0,0,0,0
"Fibrobacteres",0.00204547946141303,0,0.000318141999614296,0,0,0,0,0,0,0
"Calditrichaeota",0.000674422858353729,4.07332175864446e-05,0,0,0,0,0,0,0,0
"Tenericutes",0.000499184473286035,0,0,0,0,0,0,0,0,0
