"","PC1","PC17","PC30"
"Limnochorda pilosa",0.0025554940040772,0.235971407224337,0.18376422184576
"Acidimicrobiia bacterium",0.00676739997919039,0.141048803235276,0.175741476779999
"Corynebacterium xerosis",0.304215714215801,0.00358102820234858,0.000374813528619936
"Streptosporangiaceae bacterium YIM 75507",0.00348225363952246,0.132618879752934,0.163973320726845
"bacterium",0.00129472780743627,0.0607883105307085,0.076907268556016
"Sphaerobacter thermophilus",0.00286705415310032,0.0348508431432535,0.0612700350120384
"Alkaliphilus sp. LacT",0,0.0443850420384446,0.0466765128324113
"Hyphomicrobiaceae bacterium",0.00304761246750555,0.0289868104963414,0.0543093932434867
"Mycolicibacterium cosmeticum",0.0700743182693973,0.00525929252879969,0.00150002558258209
"Firmicutes bacterium",0,0.05641386681506,0.00900380755499246
"Pseudomonas formosensis",0.0578825194761078,6.39194917059643e-05,0
"Chelatococcus sambhunathii",0.00145014186313446,0.0198846196483722,0.0285958465247089
"Steroidobacter agariperforans",5.25833319967478e-05,0.0263950432313594,0.0231175015685255
"Steroidobacter sp. SA29-B",0.00166732673430201,0.0252028691772092,0.0205218379867298
"Steroidobacter sp. JW-3",0.00113181242234952,0.0265370484634922,0.0192314534456882
"Mycolicibacterium phlei",0.0283759909753743,0.00329246946421311,0.00721072573402361
"Acidobacteria bacterium",0.0343626604879401,0.000703457153689368,0.00298165090111615
"Actinobacteria bacterium",0.0129660231726922,0.0199440428464812,0.00462421146399901
"Mycolicibacterium thermoresistibile",0.00620748167129948,0.0177604035665212,0.00795999621637385
"Rubrobacter taiwanensis",0.000522962745453656,0.00298876984724177,0.0246660679907569
"Youhaiella tibetensis",0.0265535298401978,0.000794209836843638,0.000319819349963276
"Pseudomonas sp. TC-11",0.0255201065649381,0.00187320821766139,0
"Gryllotalpicola ginsengisoli",0.025635447729429,0.000201943359819199,6.96704012171161e-05
"Corynebacterium pollutisoli",0.023029196374851,0.000242957419440137,0
"Thermomonospora sp. CIF 1",0,0.0162118121524816,0.00629417164129877
"Proteobacteria bacterium",0.00310145424620893,0.00852374462597483,0.00507206952538521
"Nitriliruptorales bacterium",0,0.00435495111334938,0.0116871352400296
"Shinella granuli",0.0141953282016673,0.00103020027534535,0.000513677787042782
"Corynebacterium efficiens",0.0143114178540687,0,0
"Corynebacterium sp. HMSC22B11",0.0138261344835372,0,0
"Brachybacterium ginsengisoli",0.0128086268578025,0.00013504637311204,0.00085794751051334
"Hydrogenibacillus schlegelii",0,0.00530493283269963,0.00755362581002089
"Mycolicibacterium anyangense",0.0117737559575731,0.000614031591874965,4.79143342357494e-05
"Rhizobiales bacterium",0.00664539644978201,0.00262639912173351,0.00288973955771727
"Nocardioides daejeonensis",0.0096737209595944,0.00159809450196175,0.000883219339257032
"Microterricola viridarii",0.0108386395779844,0.000195554659415653,0
"Protaetiibacter intestinalis",0.0103614908727657,0.000186056888945391,4.96838787815265e-05
"Sphingobacterium composti Ten et al. 2007 non Yoo et al. 2007",0.0103975252193131,0,3.05221440579516e-05
"Corynebacterium humireducens",0.0102655199173867,0,0
"Conexibacter woesei",0.00112005046947054,0.006288316750473,0.00208779596596863
"Baekduia soli",0.000714822404792955,0.00663599330261475,0.00193896927172733
"Planctomycetes bacterium",0.000330255896501395,0.00542536462723788,0.00342471686258366
"Frankia sp. Iso899",0.00898649390578676,0,0
"Ornithinicoccus halotolerans",0.00290772747966436,0.00187510387323498,0.00401574640711101
"Chloroflexi bacterium",0.00477076323970243,0.000881263798711644,0.00306511108638303
"Brachybacterium massiliense",0.00854173580926554,9.21772675056328e-05,0
"Lysinimonas sp. KACC 19322",0.00827586632334925,4.75002230359799e-05,0
"Aminobacter sp. J15",0.0034919264063656,0.00339752484430438,0.00124673744181687
"Nocardioides sp. Iso805N",0.00803292853297603,0,0
"Actinobacteria bacterium IMCC26207",0.00305283543259517,0.00416817299811892,0.000477553751494338
"Mesorhizobium composti",0.00613814372530658,0.000223247149748646,0.000964638383216402
"Aminobacter sp. J44",0.00134346177303626,0.00436973950096034,0.00141042364477686
"Mycolicibacterium hassiacum",0.0012127889440933,0.00184746661194184,0.00354168675628757
"Actinotalea ferrariae",0.00567369463914041,0.000685957669975305,8.93186773788895e-05
"Nocardioides sp. GY 10127",0.00590706658951484,0,0
"Aeromicrobium choanae",0.00500447242089367,0.000893006467213357,0
"Leucobacter komagatae",0.00543296118678927,0.000253069206882821,0
"Leifsonia sp. NCR5",0.00545206819136122,0.00018288284353768,0
"Georgenia sp. Z294",0.0051217876194342,0.00013411072820168,0.000197654126792575
"Moheibacter sediminis",0.00537521246569602,0,0
"Paenibacillus sp. Marseille-P3787",0.00482291063917989,0.000379959550316191,0.00011514203083506
"Candidatus Macondimonas diazotrophica",0.00161846116643204,0.00286352500431915,0.000795163670132096
"Bradyrhizobium sp. ORS 3257",0.00381146494300594,0.000487953440204059,0.000740311121688611
"Planctomycetales bacterium 10988",0,0.00174497938220348,0.00324068089734724
"Candidimonas bauzanensis",0.00491868419115394,0,0
"Actinoplanes sp. TFC3",0,0.00133885588645125,0.00354443938113655
"Paracoccus alkenifer",0.00476124675055489,0,0
"Demequina sp. NBRC 110057",0.00474608781408218,0,0
"Marinactinospora thermotolerans",0.000694711932912453,0.00252860148723163,0.00148695561326281
"Thermobacillus sp. ZCTH02-B1",0.00391849048906282,0.000628238450183996,0
"Microbacterium timonense",0.00450604527364841,0,0
"Devosia sp. 67-54",0.00417886558020768,5.22840325168964e-05,0.000160936910586602
"Alkalilimnicola ehrlichii",0.00223393208253601,0.00187160657550581,0.000285896414551341
"Pseudorhodoplanes sinuspersici",0.00433992208323103,0,0
"Mesorhizobium sp. YM1C-6-2",0.00229905875588972,0.00142964593042659,0.000599795621603933
"Thermoflexus hugenholtzii",0.000379935753416827,0.00230778441523627,0.00158561355352219
"Clostridium butyricum",0.00418257511919259,0,6.9100547888815e-05
"Leucobacter massiliensis",0.00405765988956102,0.000138624890017459,0
"Aeromicrobium sp. M2KJ-4",0.00211254543876814,0.00086747115820147,0.00117476763243293
"Sulfurifustis variabilis",0.000944739795580549,0.00273033855034316,0.000468149505339568
"Demequina aestuarii",0.00407629806104618,0,0
"Pusillimonas sp. JR1/69-2-13",0.00404099575212548,0,0
"Nocardiopsis sp. JB363",0.00324949857478854,7.38119873727832e-05,0.000528622273889368
"Acidobacteria bacterium SCN 69-37",0,0.000461232331218974,0.00312280290404121
"Mycolicibacterium elephantis",0.00345583448382505,0,8.33085576268952e-05
"Ornithinicoccus hortensis",0.00133486649977854,0.000249056979576246,0.00185336963712262
"Marmoricola ginsengisoli",0.00341538323609159,0,0
"Tepidiforma bonchosmolovskayae",0,0.00127017045348314,0.00202382076555892
"Mycolicibacterium aubagnense",0.00252360512903397,0.000590278231589925,6.30754319966022e-05
"Microlunatus phosphovorus",0.00311070753081652,3.38943866311728e-05,0
"Planctomycetes bacterium Pla85_3_4",0,0.00210806808522975,0.000898578719316329
"Nocardioides sp. 130",0.00176167733673196,0.00100540893398788,2.91408329200522e-05
"Clostridium sp. N3C",0.00276996457842652,0,0
