"","PC1","PC17","PC30"
"Actinobacteria",0.340713653363365,0.165921160853561,0.148708895353268
"norank",0.0541307963629142,0.262471881500161,0.242302011454638
"Acidimicrobiia",0.00788243223185884,0.235419466504926,0.234178493552498
"Alphaproteobacteria",0.197593906866577,0.0574782989222701,0.148523980645889
"Gammaproteobacteria",0.216449958621702,0.112515038995749,0.067816773812476
"Thermomicrobia",0.0126843046517548,0.0911166617924351,0.141150002344436
"Bacilli",0.130802232927733,0.0723032710202974,0.0147992309198915
"Betaproteobacteria",0.0241995123947138,0,0
"Clostridia",0.00701554566078001,0,0
"Sphingobacteriia",0.00378562896919934,0.000287591040972752,0.000245093998115886
"Chlamydiia",0.00228578752313993,0.00145525208880736,0.000245664126945201
"Caldilineae",0,0.000893550955444213,0.00168387330457693
"Acidobacteriia",0.00149343105217683,0,0
"Bacteroidia",0.000962809374085327,0,0
"Gemmatimonadetes",0,0.000137826325376893,0.000345980487266261
"Blastocatellia",0,0,0
"Deltaproteobacteria",0,0,0
"Methanomicrobia",0,0,0
"Synergistia",0,0,0
