"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"norank",0.0964671681519521,0.138135668295061,0.435519098149228,0.37901394912386,0.290577409797343,0.0815136107239166,0.293722391519057,0.277199710429086,0.133477002057638,0.0268995239400287
"Acidimicrobiaceae",5.20494014443023e-05,0.00211720389280878,0.108876581720941,0.0605566680822976,0.138114657383634,0.00394769697378945,0.229484135207738,0.232273121887883,0.0757523855239721,0.00116290427665154
"Steroidobacteraceae",0.00255013021803648,0.00181269312826482,0.0833988470495823,0.153035578566583,0.0701703486809531,0.00153954387216608,0.0845856992169909,0.0604731013118755,0.298196140870342,8.51220918107465e-05
"Corynebacteriaceae",0.0471850239171607,0.111728379500341,0.00240472756853546,0.000291471012067722,0.0303310814293651,0.253142507743926,0.00473263418367884,0.000486177877298416,0.0171847768581829,0.287182520247273
"Nocardioidaceae",0.000642397298495318,0.0669042426091837,0.12002286781849,0.184232972479664,0.122526333191264,0.0132023763296742,0.0691352290607418,0.115207836007509,0.0268274600942221,0.00145626453617286
"Pseudomonadaceae",0.358933151471195,0.0750586157358652,0.00398330147384009,0.00243187618891566,0.00672956383611846,0.048140923073086,0.00742464325666246,0.00103566888820584,0.00246212058725757,0.151981938705804
"Sphaerobacteraceae",0.000385330341538063,0.00425933566136388,0.0516055606607713,0.042930500793002,0.0392398809209892,0.00635258123577262,0.0888194533990053,0.140001548398697,0.0978242245731474,0.000998487439276623
"Ectothiorhodospiraceae",0.00894956673321703,0.0559572987788804,0.0361998894320575,0.0138982031411266,0.0362117045278097,0.0804965186990496,0.0247958961996916,0.00585429642206933,0.0353159170288211,0.0120966383280198
"Phyllobacteriaceae",0.00171761938961583,0.0300760018638775,0.0246407682799592,0.0683943020207826,0.0167238472257211,0.00971151030871829,0.0329525890337113,0.0913503880573099,0.00345615129652617,0.00278351512651098
"Paenibacillaceae",0.000189284246651121,0.00715669998191595,0.0205687517907061,0.00691246856575029,0.0167029331241372,0.0408387120824883,0.0704803806971354,0.0135581062819456,0.0868806838458821,0.00121962882996259
