"","PC1","PC17","PC30"
"norank",0.207847676241754,0.555106663485456,0.515837721678889
"Sphaerobacter",0.00974215636919359,0.0907350328533321,0.140814097787826
"Nocardioides",0.0201956545455054,0.0705152284016857,0.116152903368235
"Alkalilimnicola",0.156833157769775,0.0208198874716318,0.00548788907233174
"Steroidobacter",0.00234339630254414,0.0858947148283733,0.0609691713382931
"Thermobacillus",0.0769659968126462,0.0516482501635175,0.00926568549234765
"Chelativorans",0.000263271168264935,0.0208597588121491,0.0693312442994381
"Mycolicibacterium",0.053221389278363,0.0133219006999548,0.00691293485241587
"Pseudomonas",0.0515112975086476,0.00118933272844815,0
"Trueperella",0.0505881160240182,0.000312610831870116,0
"Pseudogracilibacillus",0.0468703418687428,0,2.58465711966499e-05
"Thermomonospora",0.000397179528410315,0.0282962733686529,0.0106054992052525
"Corynebacterium",0.0307674854141818,0.000246212545070837,6.5167917993827e-05
"Paracoccus",0,0.00835521679962382,0.0222750934359469
"Micromonospora",0.00161959396120129,0.0195908477736394,0.00837995965676306
"Rhodococcus",0.0269017953934507,0.00106315145432276,0
"Mycobacterium",0.0268162881560418,0.000449688637123134,0
"Demequina",0.0264306367409278,0,0
"Aquamicrobium",0,0.00562037714540471,0.0174785140756004
"Mesorhizobium",0.0162988555719822,0.00214914288756052,0.00294250286499056
"Pseudorhodoplanes",0.0212639546328054,0,0
"Brachybacterium",0.0161443809729507,0.000747146994053185,0
"Youhaiella",0.015135363784449,0.000910190355495219,0
"Shinella",0.0150058102538669,0.000305904496165668,0.00040747107431101
"Afipia",0.0152636670233318,0.000253050377553803,0
"Pseudolabrys",0.0118437377805178,0.000558130490069528,0
"Ornithinimicrobium",0.0113440449284481,0.000616646556510298,0
"Aminobacter",0.00184762385665062,0.0051755892920656,0.00217248248251214
"Mangrovitalea",0.00505591474010843,0.00270061003125704,0.00121613303459781
"Bradyrhizobium",0.00726906879206649,0.000830599401512643,0
"Pusillimonas",0.00806126632764407,0,0
"Georgenia",0.00433394545354522,0.0025783686029188,0.0007259538095788
"Jatrophihabitans",0.00706105415950009,0.00011929286595838,0
"Marmoricola",0.00616574994149059,0.000408100252132429,0
"Oerskovia",0.00405474895965135,0.00116405500156216,0
"Chromobacterium",0.00506144569152447,0,0
"Janibacter",0.00491493905315367,0,0
"Pseudoclavibacter",0.00475650166517663,0,0
"Chlamydia",0.00228578752313993,0.00145525208880736,0.000245664126945201
"Cupriavidus",0.00374063965940528,0,0
"Nitrolancea",0.00294214828256118,0.000381628939102957,0.000335904556609724
"Devosia",0.00318910208457956,0.00019266806837175,0.000102127615755729
"Sphingobacterium",0.00311168995613977,0.000225822958047849,0
"Nostoc",0.00264928334551273,0,0.000512045858426412
"Thermobispora",0,0.000889838700235265,0.00227141956962689
"Leifsonia",0.00267801886321444,0,0.000153399739936612
"Alkalispirillum",0.000706192300627426,0.0019104939360387,0.000143580367253266
"Litorilinea",0,0.000893550955444213,0.00168387330457693
"Compostimonas",0.00183363754272501,0,0.000124268349561835
"Jeotgalicoccus",0.0016850541486501,0,0
"Acidobacterium",0.00149343105217683,0,0
"Actinotalea",0,0.000216901407382204,0.0011306663374772
"Nitratireductor",0.000981383622806236,0,0.000175005429764438
"Alicyclobacillus",0,0,0.00110405886357374
"Mucilaginibacter",0.000673939013059572,6.17680829249031e-05,0.000245093998115886
"Microbacter",0.000962809374085327,0,0
"Reyranella",0,0.000611343696038116,0.000298604974353423
"Croceicoccus",0.000511824919830872,0,0
"Leucobacter",0.00035755163895441,0,0.000132186561879736
"Gemmatimonas",0,0.000137826325376893,0.000275828327622313
"Gordonia",0,0.000260457186482283,0
"Paenibacillus",0,0.000220472050675824,0
"Actinomadura",0,0,0
"Aeromicrobium",0,0,0
"Clavibacter",0,0,0
"Desulfitobacterium",0,0,0
"Dethiosulfovibrio",0,0,0
"Methanoculleus",0,0,0
"Microbispora",0,0,0
"Porticoccus",0,0,0
"Thiomonas",0,0,0
