"","PC1","PC17","PC30"
"norank",0.0795840228656737,0.287368631873378,0.245794918884252
"Acidimicrobiales",0.00788243223185884,0.235419466504926,0.234178493552498
"Rhizobiales",0.168063542706192,0.0485117384266082,0.125569905437489
"Sphaerobacterales",0.0126843046517548,0.0911166617924351,0.141150002344436
"Bacillales",0.130098731932967,0.0723032710202974,0.0147992309198915
"Propionibacteriales",0.026361404486996,0.0709233286538182,0.116152903368235
"Chromatiales",0.157539350070402,0.0227303814076705,0.005631469439585
"Corynebacteriales",0.137706958242037,0.0153414105229538,0.0069781027704097
"Nevskiales",0.00234339630254414,0.0858947148283733,0.0609691713382931
"Micrococcales",0.088735744873359,0.00593403236515037,0.00226647479843419
"Pseudomonadales",0.0515112975086476,0.00118933272844815,0
"Actinomycetales",0.0505881160240182,0.000312610831870116,0
"Streptosporangiales",0.00884371582624319,0.0282962733686529,0.0106054992052525
"Micromonosporales",0.00229036486224286,0.0198492440009969,0.00882379398636838
"Rhodobacterales",0,0.00835521679962382,0.0222750934359469
"Rhodospirillales",0.0182355256272925,0.000611343696038116,0.000556149708980261
"Burkholderiales",0.0118019059870494,0,0
"Pseudonocardiales",0.00914295937009711,0.000248217870943245,0
"Alteromonadales",0.00505591474010843,0.00270061003125704,0.00121613303459781
"Frankiales",0.00706105415950009,0.00011929286595838,0
"Clostridiales",0.00701554566078001,0,0
"Neisseriales",0.00506144569152447,0,0
"Sphingobacteriales",0.00378562896919934,0.000287591040972752,0.000245093998115886
"Chlamydiales",0.00228578752313993,0.00145525208880736,0.000245664126945201
"Nostocales",0.00264928334551273,0,0.000512045858426412
"Caldilineales",0,0.000893550955444213,0.00168387330457693
"Acidobacteriales",0.00149343105217683,0,0
"Bacteroidales",0.000962809374085327,0,0
"Lactobacillales",0.000703500994765982,0,0
"Sphingomonadales",0.000511824919830872,0,0
"Gemmatimonadales",0,0.000137826325376893,0.000345980487266261
"Cellvibrionales",0,0,0
"Methanomicrobiales",0,0,0
"Myxococcales",0,0,0
"Synergistales",0,0,0
