"","PC1","PC17","PC30"
"Mycobacteriaceae",0.279349291238114,0.296479679326327,0.574317546262697
"Intrasporangiaceae",0.0270966804001191,0.117090449137737,0.366150889090896
"Phyllobacteriaceae",0.0223482651106792,0.414735842707283,0.0528011502822452
"Frankiaceae",0.323065707442176,0.0743606079066536,0
"norank",0.154472828794801,0.02027574316607,0
"Bradyrhizobiaceae",0.0386213476850029,0.0303550501579385,0
"Baekduiaceae",0.0542289294540917,0,0
"Algiphilaceae",0.0296977087858809,0.0198093954956703,0
"Pseudomonadaceae",0.0130318184191992,0.0268932321023201,0
"Nocardioidaceae",0.0291575451418441,0,0
"Acidobacteriaceae",0.0289298775280915,0,0
"Xanthomonadaceae",0,0,0.00673041436416192
"Alcaligenaceae",0,0,0
"Caulobacteraceae",0,0,0
"Propionibacteriaceae",0,0,0
