"","PC1","PC17","PC30"
"Mycolicibacterium",0.279349291238114,0.296479679326327,0.574317546262697
"Ornithinimicrobium",0.0270966804001191,0.117090449137737,0.366150889090896
"Mesorhizobium",0.0223482651106792,0.414735842707283,0.0528011502822452
"Frankia",0.323065707442176,0.0743606079066536,0
"norank",0.154472828794801,0.02027574316607,0
"Baekduia",0.0542289294540917,0,0
"Algiphilus",0.0296977087858809,0.0198093954956703,0
"Azotobacter",0.0130318184191992,0.0268932321023201,0
"Nitrobacter",0.00808890469717949,0.0303550501579385,0
"Afipia",0.0305324429878234,0,0
"Nocardioides",0.0291575451418441,0,0
"Acidobacterium",0.0289298775280915,0,0
"Luteimonas",0,0,0.00673041436416192
"Achromobacter",0,0,0
"Phenylobacterium",0,0,0
"Tessaracoccus",0,0,0
