"","PC1","PC17","PC30"
"Corynebacteriales",0.279349291238114,0.296479679326327,0.574317546262697
"Rhizobiales",0.0773492601861144,0.445090892865222,0.0528011502822452
"Micrococcales",0.0270966804001191,0.117090449137737,0.366150889090896
"Frankiales",0.323065707442176,0.0743606079066536,0
"norank",0.138093181404369,0.02027574316607,0
"Rubrobacterales",0.0542289294540917,0,0
"Nevskiales",0.0296977087858809,0.0198093954956703,0
"Pseudomonadales",0.0130318184191992,0.0268932321023201,0
"Propionibacteriales",0.0291575451418441,0,0
"Acidobacteriales",0.0289298775280915,0,0
"Xanthomonadales",0,0,0.00673041436416192
"Burkholderiales",0,0,0
"Caulobacterales",0,0,0
