"","PC1","PC17","PC30"
"Mycolicibacterium phlei",0.168747150626192,0.241936523419949,0.517455483532189
"Ornithinimicrobium murale",0.0270966804001191,0.117090449137737,0.366150889090896
"Mesorhizobium composti",0.0223482651106792,0.414735842707283,0.0528011502822452
"Frankia sp. EAN1pec",0.323065707442176,0.0743606079066536,0
"Mycolicibacterium cosmeticum",0.0843478162681425,0.0545431559063785,0.0568620627305085
"Acidobacteria bacterium",0.124137001421335,0.02027574316607,0
"Baekduia soli",0.0542289294540917,0,0
"Algiphilus aromaticivorans",0.0296977087858809,0.0198093954956703,0
"Azotobacter vinelandii",0.0130318184191992,0.0268932321023201,0
"Nitrobacter sp. 62-13",0.00808890469717949,0.0303550501579385,0
"Afipia sp.",0.0305324429878234,0,0
"Nocardioides daejeonensis",0.0291575451418441,0,0
"Acidobacterium ailaaui",0.0289298775280915,0,0
"Mycolicibacterium anyangense",0.0262543243437795,0,0
"Rhizobiales bacterium 65-79",0.0163796473904323,0,0
"bacterium 1xD8-27",0.0139561799830343,0,0
"Luteimonas sp. J29",0,0,0.00673041436416192
"Achromobacter sp. DMS1",0,0,0
"Phenylobacterium kunshanense",0,0,0
"Tessaracoccus massiliensis",0,0,0
