"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Clostridia",0.535899330648642,0.526122653156556,0.442440704311465,0.451324260324812,0.715879461403011,0.750214313281784,0.760132078535691,0.368020028695236,0.660000493397624,0.81694542751911
"Betaproteobacteria",0.00149998409375238,0.0202649226730422,0.153822520388033,0.393572366660857,0.0307586440241802,0,0.0244114708956918,0.4720221446066,0,0
"Deinococci",0.0067975213815166,0.199986448730526,0.316594985820263,0,0.0859885199066915,0,0.0496644257557363,0,0.0151650799688788,0.00711229339949192
"Methanomicrobia",0.0180505743801231,0.0159946680885435,0.0316748055055802,0.0940975857241662,0.0448476588282108,0.00113752885533685,0.0758783735809185,0.159957826698164,0.0243735773370269,0.000921193547887782
"Bacteroidia",0.22489378960783,0.0886696322015915,0.016991562332512,0,0.00559765346702154,0.0366930335378945,0,0,0.0100915730073301,0.0653645801416536
"Alphaproteobacteria",0.0031142518371183,0.0232395086691438,0,0.0398260593472008,0.0550542194942373,0.0866218846324573,0,0,0.176501593329476,0.0218906607969138
"Methanobacteria",0.0132332433181704,0.0170302274705579,0.0331063756626056,0,0.0118249250029189,0.0612965086982479,0.089913651231962,0,0.0423040714057774,0.02351149903165
"Spirochaetia",0.0977365599381542,0.0357479448253032,0,0,0.0151450499543703,0.0136152309616859,0,0,0,0.00057284827825199
"Bacilli",0,0.0338030589446545,0.00536904597954223,0.0211797279429642,0.019125959355037,0.03184686313646,0,0,0.022880386356866,0.0248142781130233
"Negativicutes",0.0744832760271376,0.0215378298583642,0,0,0,0.00259361752542012,0,0,0.020238852197967,0.00113788393481324
"Actinobacteria",0.0060212086627356,0.00692253869076937,0,0,0.0157779085643212,0,0,0,0.0284443729990538,0.00467255813213106
"Gammaproteobacteria",0.0122550975643521,0.00382648112519624,0,0,0,0.00553237385134807,0,0,0,0.0242902098914529
"Candidatus Brocadiae",0.00206486587818325,0,0,0,0,0.010448645519365,0,0,0,0.00876656721362017
"Opitutae",0.00395029666228425,0.00685408556575172,0,0,0,0,0,0,0,0
