"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Clostridiaceae",0.0918709898896854,0.196908486269252,0.383802029285785,0.292001150130944,0.461984211893262,0.485285200924199,0.604110266034066,0.368020028695236,0.45442345559249,0.262243843055954
"norank",0.294699622569751,0.149262904794425,0.172537317753312,0.393572366660857,0.0599786028979015,0.0346308663895727,0.0244114708956918,0.4720221446066,0.0303304252052972,0.00850146298665492
"Hungateiclostridiaceae",0.140116453175659,0.0616278712662761,0.00358835515922271,0.159323110193868,0.0268923925915512,0.019657714398645,0.0251629716123943,0,0,0.439373835949886
"Peptostreptococcaceae",0.026302102890359,0.0495252553022324,0.0256156321847147,0,0.111492245337552,0.197099734701627,0.106123992697297,0,0.205577037805134,0.0812884243655944
"Thermaceae",0.0067975213815166,0.199986448730526,0.316594985820263,0,0.0859885199066915,0,0.0496644257557363,0,0.0151650799688788,0.00711229339949192
"Syntrophomonadaceae",0.192447150804748,0.169147070156102,0.0141630709285118,0,0.0651933959679091,0.0293542586907463,0.0247348481919343,0,0,0.0271008615808029
"Methanomicrobiaceae",0.00864893952998102,0.0146818123182327,0.0316748055055802,0.0940975857241662,0.0448476588282108,0,0.0758783735809185,0.159957826698164,0.0243735773370269,0.000339873457989897
"Methanobacteriaceae",0.0132332433181704,0.0170302274705579,0.0331063756626056,0,0.0118249250029189,0.0612965086982479,0.089913651231962,0,0.0423040714057774,0.02351149903165
"Bradyrhizobiaceae",0,0.0105466692534713,0,0.0398260593472008,0.0395884512834687,0.016187637033749,0,0,0.11949878228936,0
"Rhodobacteraceae",0.0031142518371183,0.0126928394156726,0,0,0.0154657682107686,0.0704342475987083,0,0,0.0570028110401167,0.0218906607969138
"Porphyromonadaceae",0.0577434523469863,0.0127781524482555,0.0135483817204631,0,0,0.0180210050297012,0,0,0,0.0642674683262889
"Spirochaetaceae",0.0977365599381542,0.0357479448253032,0,0,0.0151450499543703,0.0136152309616859,0,0,0,0.00057284827825199
"Paenibacillaceae",0,0.0338030589446545,0.00536904597954223,0.0211797279429642,0.019125959355037,0.03184686313646,0,0,0.022880386356866,0.0248142781130233
"Actinomycetaceae",0.0060212086627356,0.00692253869076937,0,0,0.0157779085643212,0,0,0,0.0284443729990538,0.00467255813213106
"Ruminococcaceae",0.00440193517357085,0.00653470803058301,0,0,0.0266949102060365,0.005452184210608,0,0,0,0.000671995330396015
"Xanthomonadaceae",0.00550769759839368,0.00382648112519624,0,0,0,0.00308309767926006,0,0,0,0.0237529334563366
"Thermoanaerobacteraceae",0.0159432662585995,0.0119034748016118,0,0,0,0,0,0,0,0
"Candidatus Brocadiaceae",0.00206486587818325,0,0,0,0,0.010448645519365,0,0,0,0.00876656721362017
"Methanosarcinaceae",0.00940163485014211,0.00131285577031075,0,0,0,0.00113752885533685,0,0,0,0.000581320089897885
"Pseudomonadaceae",0.00674739996595837,0,0,0,0,0.002449276172088,0,0,0,0.000537276435116348
"Lachnospiraceae",0.00691842677152672,0.00062696263655509,0,0,0,0,0,0,0,0
"Peptococcaceae",0.0045362204871898,0.00161372646893475,0,0,0,0,0,0,0,0
"Clostridiales Family XIII. Incertae Sedis",0.00310037730830278,0.00221768488596278,0,0,0,0,0,0,0,0
"Thermoanaerobacterales Family III. Incertae Sedis",0.0026466793632676,0.00130282639511539,0,0,0,0,0,0,0,0
