"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Clostridium",0.0850438860002026,0.193002456362901,0.383802029285785,0.292001150130944,0.461984211893262,0.485285200924199,0.604110266034066,0.368020028695236,0.45442345559249,0.260488603313694
"norank",0.408174652364066,0.197887944493595,0.170814082720545,0.393572366660857,0.0781962576516085,0.0565485059376549,0.0244114708956918,0.4720221446066,0.0303304252052972,0.0142395284379674
"Terrisporobacter",0.0224634548258112,0.0475323551074905,0.0256156321847147,0,0.111492245337552,0.162571562787454,0.106123992697297,0,0.205577037805134,0.0779624448251904
"Thermus",0.0067975213815166,0.199986448730526,0.316594985820263,0,0.0859885199066915,0,0.0496644257557363,0,0.0151650799688788,0.00711229339949192
"Syntrophomonas",0.192447150804748,0.169147070156102,0.0141630709285118,0,0.0651933959679091,0.0293542586907463,0.0247348481919343,0,0,0.0271008615808029
"Thermoclostridium",0.0176892567489531,0.00937300009639813,0.00358835515922271,0.0196554713927131,0.00187188902099918,0.00492888213571398,0,0,0,0.399107559341378
"Methanoculleus",0.00864893952998102,0.0146818123182327,0.0316748055055802,0.0940975857241662,0.0448476588282108,0,0.0758783735809185,0.159957826698164,0.0243735773370269,0.000339873457989897
"Ruminiclostridium",0.0853447466725296,0.045291317613178,0,0.139667638801155,0.00812136779426377,0.00879486351723146,0.0251629716123943,0,0,0.0185437092501587
"Methanobrevibacter",0.0132332433181704,0.0170302274705579,0.0331063756626056,0,0.0118249250029189,0.0612965086982479,0.089913651231962,0,0.0423040714057774,0.02351149903165
"Bradyrhizobium",0,0.0105466692534713,0,0.0398260593472008,0.0395884512834687,0.016187637033749,0,0,0.11949878228936,0
"Paracoccus",0.0031142518371183,0.0126928394156726,0,0,0.0154657682107686,0.0704342475987083,0,0,0.0570028110401167,0.0218906607969138
"Ammoniphilus",0,0.0338030589446545,0.00536904597954223,0.0211797279429642,0.019125959355037,0.03184686313646,0,0,0.022880386356866,0.0248142781130233
"Fermentimonas",0.0339189505882875,0.00600441801367422,0,0,0,0.0116542709002658,0,0,0,0.0565864038604898
"Hungateiclostridium",0.0370824497541763,0.00696355355669991,0,0,0.0168991357762883,0.00593396874569951,0,0,0,0.021722567358349
"Natranaerovirga",0.0222485403358242,0.00920392594507832,0.0152716167532305,0,0.0236223054066998,0,0,0,0,0.00318784262313461
"Varibaculum",0.0060212086627356,0.00692253869076937,0,0,0.0157779085643212,0,0,0,0.0284443729990538,0.00467255813213106
"Asaccharospora",0.00383864806454779,0.00199290019474196,0,0,0,0.0345281719141733,0,0,0,0.00332597954040397
"Luteimonas",0.00550769759839368,0.00382648112519624,0,0,0,0.00308309767926006,0,0,0,0.0237529334563366
"Candidatus Brocadia",0.00206486587818325,0,0,0,0,0.010448645519365,0,0,0,0.00876656721362017
"Proteiniclasticum",0.00682710388948282,0.00390602990635108,0,0,0,0,0,0,0,0.00175523974225966
"Methanosarcina",0.00940163485014211,0.00131285577031075,0,0,0,0.00113752885533685,0,0,0,0.000581320089897885
"Anaerovirgula",0.0042688650537787,0.00237040587709562,0,0,0,0.00351650975364708,0,0,0,0
"Pseudomonas",0.00674739996595837,0,0,0,0,0.002449276172088,0,0,0,0.000537276435116348
"Parasporobacterium",0.00691842677152672,0.00062696263655509,0,0,0,0,0,0,0,0
"Desulfofarcimen",0.0045362204871898,0.00161372646893475,0,0,0,0,0,0,0,0
"Mogibacterium",0.00310037730830278,0.00221768488596278,0,0,0,0,0,0,0,0
"Syntrophaceticus",0.0026466793632676,0.00130282639511539,0,0,0,0,0,0,0,0
"Thermacetogenium",0.00191382794510634,0.000760490570735109,0,0,0,0,0,0,0,0
