"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Clostridiales",0.496211061890645,0.499776096838073,0.442440704311465,0.451324260324812,0.715879461403011,0.740365602679472,0.760132078535691,0.368020028695236,0.660000493397624,0.813866802905768
"Burkholderiales",0.00149998409375238,0.0202649226730422,0.153822520388033,0.393572366660857,0.0307586440241802,0,0.0244114708956918,0.4720221446066,0,0
"Thermales",0.0067975213815166,0.199986448730526,0.316594985820263,0,0.0859885199066915,0,0.0496644257557363,0,0.0151650799688788,0.00711229339949192
"Methanomicrobiales",0.00864893952998102,0.0146818123182327,0.0316748055055802,0.0940975857241662,0.0448476588282108,0,0.0758783735809185,0.159957826698164,0.0243735773370269,0.000339873457989897
"Bacteroidales",0.22489378960783,0.0886696322015915,0.016991562332512,0,0.00559765346702154,0.0366930335378945,0,0,0.0100915730073301,0.0653645801416536
"Methanobacteriales",0.0132332433181704,0.0170302274705579,0.0331063756626056,0,0.0118249250029189,0.0612965086982479,0.089913651231962,0,0.0423040714057774,0.02351149903165
"Rhizobiales",0,0.0105466692534713,0,0.0398260593472008,0.0395884512834687,0.016187637033749,0,0,0.11949878228936,0
"Rhodobacterales",0.0031142518371183,0.0126928394156726,0,0,0.0154657682107686,0.0704342475987083,0,0,0.0570028110401167,0.0218906607969138
"norank",0.0995318958255521,0.0415321705458724,0,0,0,0.0124423281277323,0,0,0.020238852197967,0.00421650854815561
"Spirochaetales",0.0977365599381542,0.0357479448253032,0,0,0.0151450499543703,0.0136152309616859,0,0,0,0.00057284827825199
"Bacillales",0,0.0338030589446545,0.00536904597954223,0.0211797279429642,0.019125959355037,0.03184686313646,0,0,0.022880386356866,0.0248142781130233
"Actinomycetales",0.0060212086627356,0.00692253869076937,0,0,0.0157779085643212,0,0,0,0.0284443729990538,0.00467255813213106
"Xanthomonadales",0.00550769759839368,0.00382648112519624,0,0,0,0.00308309767926006,0,0,0,0.0237529334563366
"Thermoanaerobacterales",0.0185899456218671,0.0132063011967272,0,0,0,0,0,0,0,0
"Candidatus Brocadiales",0.00206486587818325,0,0,0,0,0.010448645519365,0,0,0,0.00876656721362017
"Methanosarcinales",0.00940163485014211,0.00131285577031075,0,0,0,0.00113752885533685,0,0,0,0.000581320089897885
"Pseudomonadales",0.00674739996595837,0,0,0,0,0.002449276172088,0,0,0,0.000537276435116348
