"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Clostridium celatum",0.0396851220455616,0.104771572375777,0.215660517874013,0.162633622235273,0.265191203837182,0.258132910966735,0.282901706658831,0.242174026463385,0.259160019725294,0.144017331129328
"Burkholderiales bacterium 70-64",0.00149998409375238,0.0202649226730422,0.153822520388033,0.393572366660857,0.0307586440241802,0,0.0244114708956918,0.4720221446066,0,0
"uncultured Clostridium sp.",0.0260859646788692,0.0546332899898928,0.0637792136364075,0.0327187829927162,0.149078137546672,0.167407192131275,0.206167789231114,0.125846002231852,0.124270680058433,0.0822339346984946
"Terrisporobacter glycolicus",0.0224634548258112,0.0475323551074905,0.0256156321847147,0,0.111492245337552,0.162571562787454,0.106123992697297,0,0.205577037805134,0.0779624448251904
"Thermus thermamylovorans",0.0067975213815166,0.199986448730526,0.316594985820263,0,0.0859885199066915,0,0.0496644257557363,0,0.0151650799688788,0.00711229339949192
"Syntrophomonas sp.",0.192447150804748,0.169147070156102,0.0141630709285118,0,0.0651933959679091,0.0293542586907463,0.0247348481919343,0,0,0.0271008615808029
"Thermoclostridium caenicola",0.0176892567489531,0.00937300009639813,0.00358835515922271,0.0196554713927131,0.00187188902099918,0.00492888213571398,0,0,0,0.399107559341378
"Methanoculleus bourgensis",0.00864893952998102,0.0146818123182327,0.0316748055055802,0.0940975857241662,0.0448476588282108,0,0.0758783735809185,0.159957826698164,0.0243735773370269,0.000339873457989897
"Ruminiclostridium sp.",0.0853447466725296,0.045291317613178,0,0.139667638801155,0.00812136779426377,0.00879486351723146,0.0251629716123943,0,0,0.0185437092501587
"Clostridium disporicum",0.011634380821458,0.025380125724658,0.0487264551884331,0,0.0477148705094083,0.0473362682741844,0.0505199696025342,0,0.058446131722841,0.0266272946341303
"Methanobrevibacter gottschalkii",0.0132332433181704,0.0170302274705579,0.0331063756626056,0,0.0118249250029189,0.0612965086982479,0.089913651231962,0,0.0423040714057774,0.02351149903165
"Bacteroidales bacterium",0.167150337260844,0.0758914797533361,0.00344318061204887,0,0.00559765346702154,0.0186720285081933,0,0,0.0100915730073301,0.0010971118153647
"Clostridium paraputrificum",0.00763841845431379,0.00821746827257304,0.0556358425869315,0.0966487449029549,0,0.0124088295520038,0.0645208005415867,0,0.0125466240859212,0.00761004285174169
"Bradyrhizobium oligotrophicum",0,0.0105466692534713,0,0.0398260593472008,0.0395884512834687,0.016187637033749,0,0,0.11949878228936,0
"Paracoccus solventivorans",0.0031142518371183,0.0126928394156726,0,0,0.0154657682107686,0.0704342475987083,0,0,0.0570028110401167,0.0218906607969138
"Spirochaetaceae bacterium",0.0977365599381542,0.0357479448253032,0,0,0.0151450499543703,0.0136152309616859,0,0,0,0.00057284827825199
"Ammoniphilus sp. CFH 90114",0,0.0338030589446545,0.00536904597954223,0.0211797279429642,0.019125959355037,0.03184686313646,0,0,0.022880386356866,0.0248142781130233
"Negativicutes bacterium",0.0744832760271376,0.0215378298583642,0,0,0,0.00259361752542012,0,0,0.020238852197967,0.00113788393481324
"Fermentimonas caenicola",0.0339189505882875,0.00600441801367422,0,0,0,0.0116542709002658,0,0,0,0.0565864038604898
"Hungateiclostridium saccincola",0.0370824497541763,0.00696355355669991,0,0,0.0168991357762883,0.00593396874569951,0,0,0,0.021722567358349
"Natranaerovirga hydrolytica",0.0207669845498594,0.00920392594507832,0.0152716167532305,0,0.0236223054066998,0,0,0,0,0.00318784262313461
"Varibaculum timonense",0.0060212086627356,0.00692253869076937,0,0,0.0157779085643212,0,0,0,0.0284443729990538,0.00467255813213106
"Porphyromonadaceae bacterium",0.0238245017586989,0.00677373443458125,0.0135483817204631,0,0,0.00636673412943539,0,0,0,0.00768106446579905
"Clostridia bacterium",0.0210983231361303,0.0131402551217565,0,0,0,0.00984871060231215,0,0,0,0.00307862461334237
"[Clostridium] viride",0.00440193517357085,0.00653470803058301,0,0,0.0266949102060365,0.005452184210608,0,0,0,0.000671995330396015
"Asaccharospora irregularis",0.00383864806454779,0.00199290019474196,0,0,0,0.0345281719141733,0,0,0,0.00332597954040397
"Luteimonas marina",0.00550769759839368,0.00382648112519624,0,0,0,0.00308309767926006,0,0,0,0.0237529334563366
"Thermoanaerobacteraceae bacterium SP2",0.0140294383134931,0.0111429842308767,0,0,0,0,0,0,0,0
"Candidatus Brocadia sp. WS118",0.00206486587818325,0,0,0,0,0.010448645519365,0,0,0,0.00876656721362017
"Proteiniclasticum ruminis",0.00682710388948282,0.00390602990635108,0,0,0,0,0,0,0,0.00175523974225966
"Methanosarcina sp. MSH10X1",0.00940163485014211,0.00131285577031075,0,0,0,0.00113752885533685,0,0,0,0.000581320089897885
"Opitutae bacterium",0.00395029666228425,0.00685408556575172,0,0,0,0,0,0,0,0
"Anaerovirgula multivorans",0.0042688650537787,0.00237040587709562,0,0,0,0.00351650975364708,0,0,0,0
"Pseudomonas caeni",0.00674739996595837,0,0,0,0,0.002449276172088,0,0,0,0.000537276435116348
"Parasporobacterium paucivorans",0.00691842677152672,0.00062696263655509,0,0,0,0,0,0,0,0
"Desulfofarcimen acetoxidans",0.0045362204871898,0.00161372646893475,0,0,0,0,0,0,0,0
"Mogibacterium diversum",0.00310037730830278,0.00221768488596278,0,0,0,0,0,0,0,0
"Syntrophaceticus schinkii",0.0026466793632676,0.00130282639511539,0,0,0,0,0,0,0,0
"Thermacetogenium phaeum",0.00191382794510634,0.000760490570735109,0,0,0,0,0,0,0,0
"Natranaerovirga pectinivora",0.00148155578596483,0,0,0,0,0,0,0,0,0
