"BR_1"	"BR_2"	"BR_3"	"BRC1_1"	"BRC1_2"	"BRC1_3"	"BRC17_1"	"BRC17_2"	"BRC17_3"	"BRC30_1"	"BRC30_2"	"BRC30_3"	"BRC5_1"	"BRC5_2"	"BRC5_3"	"PC1_1"	"PC1_2"	"PC1_3"	"PC17_1"	"PC17_2"	"PC17_3"	"PC30_1"	"PC30_2"	"PC30_3"	"PC5_1"	"PC5_2"	"PC5_3"	"PM_1"	"PM_2"	"PM_3"
"BR_1"	0	0.0996647964400809	0.107313623095217	0.282700550137784	0.306479313031216	0.281328618933888	0.167278701581633	0.199669718893348	0.172251634642752	0.123213968254411	0.104916630816322	0.10295961770267	0.285505993706922	0.304302178661134	0.286244330804097	0.266589267861426	0.26124853034535	0.287435593268068	0.432710675583053	0.436743286789315	0.437625789645081	0.43645909793952	0.418104860116944	0.422028568384084	0.367659378308404	0.369944567893429	0.355919899974397	0.193657064605156	0.173878163399213	0.182984073975399
"BR_2"	0.0996647964400809	0	0.012204805275795	0.311416643290719	0.336772302130605	0.310317853412871	0.262566049943173	0.293493972977088	0.267327113156999	0.168793756403178	0.166280080995953	0.171273967161689	0.313119634127459	0.332651613957403	0.314248148099886	0.356774715272851	0.346307389679409	0.376319875254927	0.51036544108919	0.51403327827681	0.514835576655313	0.513774888563274	0.49705711948898	0.500635921405121	0.45080544729302	0.45291035568562	0.439977512962882	0.287767716232069	0.268883337502165	0.277586505744658
"BR_3"	0.107313623095217	0.012204805275795	0	0.322550902413556	0.347896196669248	0.321597924148386	0.269749966544291	0.300543511723116	0.274491300595169	0.176295203780364	0.173788177613621	0.178768758437845	0.323745438831841	0.343098441460017	0.325008059731232	0.363503541647603	0.353093506465581	0.382937228464286	0.516060635828115	0.519699377297703	0.520495283914013	0.519443044033246	0.50285615841769	0.506407301196659	0.456944326977234	0.459034479938332	0.44619122513228	0.294843243259396	0.276041000632448	0.284706995777036
"BRC1_1"	0.282700550137784	0.311416643290719	0.322550902413556	0	0.0241130468837014	0.0109720998302871	0.113633556622349	0.111897465405719	0.155607288588216	0.158457175825555	0.175015492540854	0.175381299914608	0.0377460671529822	0.0588466121541379	0.0283856859865862	0.441847545255029	0.451253155072347	0.445271991835785	0.324817589927801	0.315809152802017	0.316791031884265	0.315493017350353	0.295132230360064	0.299475526236125	0.432884873991925	0.435434876219054	0.4246458283524	0.177925239029305	0.192691088131355	0.209414312734843
"BRC1_2"	0.306479313031216	0.336772302130605	0.347896196669248	0.0241130468837014	0	0.0286280407790118	0.135826039631912	0.133353223267089	0.177220800995266	0.18231884434755	0.198731160227146	0.19898086933795	0.0263450759432063	0.0474661494508973	0.0169788463314389	0.458440616562223	0.467973844618675	0.461413494236816	0.338920866672424	0.318006720784585	0.321921959422864	0.305179480301561	0.284678730933581	0.289051080981256	0.447501164862404	0.449981572158326	0.43957836867917	0.198809272524095	0.213858787283884	0.230195807044371
"BRC1_3"	0.281328618933888	0.310317853412871	0.321597924148386	0.0109720998302871	0.0286280407790118	0	0.110662630030263	0.109011932401074	0.153097451228151	0.155709307278517	0.172456085621722	0.172838523458056	0.0486979985310369	0.0697736611616011	0.0393455316282117	0.442320248209317	0.451823068374346	0.445764305260233	0.32431026488726	0.32565283639139	0.32662781822287	0.325338917191123	0.305116296407098	0.309430874776085	0.433223468896205	0.435793497640927	0.424920451531929	0.175704653964618	0.190578370366313	0.207497721432892
"BRC17_1"	0.167278701581633	0.262566049943173	0.269749966544291	0.113633556622349	0.135826039631912	0.110662630030263	0	0.0335102770288016	0.0414322470847947	0.0981209666921385	0.100681681216173	0.0955908740759306	0.122252707158377	0.141926026951375	0.12133994652532	0.332114305319455	0.339841646487847	0.338186738134243	0.286144016456949	0.290702699396976	0.291701213636282	0.290381219563963	0.269688158631983	0.274100363202537	0.336759011772471	0.339563593859685	0.327117003245521	0.0657071575942266	0.0777176673443226	0.0950869364951101
"BRC17_2"	0.199669718893348	0.293493972977088	0.300543511723116	0.111897465405719	0.133353223267089	0.109011932401074	0.0335102770288016	0	0.0379442536568107	0.131199850638215	0.133740734256233	0.128688924873777	0.120292278662214	0.139366782218836	0.119392146821073	0.320203524284823	0.327542612926965	0.32638484745585	0.255079638201881	0.259722516532561	0.260739663817205	0.259395052265908	0.238331763182756	0.242820435362803	0.326142678526094	0.328906198898239	0.316590906992	0.0615022503206033	0.0730274118922471	0.0898666956266195
"BRC17_3"	0.172251634642752	0.267327113156999	0.274491300595169	0.155607288588216	0.177220800995266	0.153097451228151	0.0414322470847947	0.0379442536568107	0	0.103189596132781	0.105747638859036	0.100662077512313	0.162648411842026	0.181365684806012	0.162120753685884	0.293444378686631	0.300627683295331	0.300446834424638	0.281435899844253	0.286007957907571	0.287009430315367	0.285685527850561	0.264933539095932	0.269357938950116	0.302779704633506	0.305681578412451	0.292620933011206	0.0250714632771281	0.0361703496357063	0.0538435214930089
"BRC30_1"	0.123213968254411	0.168793756403178	0.176295203780364	0.158457175825555	0.18231884434755	0.155709307278517	0.0981209666921385	0.131199850638215	0.103189596132781	0	0.0174108889086742	0.0186124890473796	0.166106002919913	0.186618322353899	0.165559571478387	0.332325141031958	0.340737714328145	0.338906141598053	0.373770724370497	0.378040429578148	0.378975151618432	0.377739450267947	0.35832705235098	0.362472631159016	0.337293199971169	0.340307199207085	0.32691893160315	0.125047963818638	0.104848203698025	0.114140801654132
"BRC30_2"	0.104916630816322	0.166280080995953	0.173788177613621	0.175015492540854	0.198731160227146	0.172456085621722	0.100681681216173	0.133740734256233	0.105747638859036	0.0174108889086742	0	0.0051402784647993	0.182013019101442	0.202198777129717	0.18163103943033	0.319091304863235	0.327331006767966	0.326043185672415	0.375993526954852	0.3802549138109	0.38118780225663	0.379954523956756	0.360579157583363	0.36471699140735	0.32581190464102	0.328870972022715	0.31521505741102	0.127592963538361	0.10740534329781	0.116692618381618
