"sample"	"NMDS1"	"NMDS2"	"Group"
"BR_1"	-0.13203984684977	3.22226287323212e-09	"BR"
"BR_2"	-0.24820443915211	-5.88438266572457e-09	"BR"
"BR_3"	-0.283773926566124	-2.61616049582013e-09	"BR"
"BRC1_1"	0.22390350659795	4.96741381497331e-09	"BRC1"
"BRC1_2"	0.246318121324448	-2.78598905122891e-09	"BRC1"
"BRC1_3"	0.220333326352464	-1.93847286210883e-09	"BRC1"
"BRC17_1"	0.112993062960072	9.41804380904664e-10	"BRC17"
"BRC17_2"	0.116340628657784	-1.00838579417039e-09	"BRC17"
"BRC17_3"	0.070946988139463	-1.00063205223838e-09	"BRC17"
"BRC30_1"	0.0566338921554191	-5.8380469584217e-10	"BRC30"
"BRC30_2"	0.0368045212938498	5.00441349225182e-11	"BRC30"
"BRC30_3"	0.0371230967536167	7.89625001195696e-10	"BRC30"
"BRC5_1"	0.234051107266221	1.01272536367716e-10	"BRC5"
"BRC5_2"	0.253331177307094	2.02450146117898e-10	"BRC5"
"BRC5_3"	0.232790963488937	9.46595761939775e-11	"BRC5"
"PC1_1"	-0.264129942455265	4.3856306222816e-10	"PC1"
"PC1_2"	-0.288517477069182	1.29446132593798e-09	"PC1"
"PC1_3"	-0.257258346030952	4.74623704119291e-10	"PC1"
"PC17_1"	-0.0547930820220903	-1.90645824710038e-09	"PC17"
"PC17_2"	-0.0341295196365685	-5.68171951379223e-10	"PC17"
"PC17_3"	-0.0376496567893696	-3.4067518084784e-10	"PC17"
"PC30_1"	0.0780730553891065	1.00452146813405e-09	"PC30"
"PC30_2"	0.0832640697690871	-1.9198734251259e-09	"PC30"
"PC30_3"	0.0878629948786271	-4.19921164222282e-10	"PC30"
"PC5_1"	-0.197255824961251	4.23307944466524e-09	"PC5"
"PC5_2"	-0.199698600902761	-2.0719402135343e-10	"PC5"
"PC5_3"	-0.191273909706707	2.29671376249097e-09	"PC5"
"PM_1"	0.050293736380047	7.35756808391917e-10	"PM"
"PM_2"	0.0321802011131261	-3.43177816350431e-10	"PM"
"PM_3"	0.0154801223148352	6.76047383637361e-10	"PM"
